FarmerID,Region,Crop,FarmSizeAcres,PlantingDate,HarvestDate,ProductionKg,FertilizerKg,RainfallMM,Irrigation,MarketPrice,Gender,Age
103,Eastern,Rice,3.39,2025-03-15,2025-06-28,2842.8,134.1,531.2,Flood,50.91,Male,21
104,Central,Potatoes,11.79,2025-01-30,2025-06-21,7902.0,478.6,272.9,Drip,117.77,Male,50
105,Rift Valley,Maize,1.12,2025-04-02,2025-08-18,2724.7,214.7,983.9,Flood,97.56,Male,74
106,Western,Maize,13.03,2025-02-02,2025-04-14,2098.6,120.0,880.7,Drip,106.54,Female,40
107,Central,Beans,8.4,2025-01-13,2025-04-25,1163.0,220.7,118.1,Flood,59.8,Female,43
108,Eastern,Beans,1.03,2025-02-05,2025-07-24,11433.4,477.9,580.8,Sprinkler,46.69,Female,54
109,Eastern,Potatoes,4.74,2025-03-19,2025-07-15,2727.9,433.7,853.6,Rain-fed,79.89,Male,73
110,Central,Rice,16.14,2025-01-27,2025-06-14,2476.1,45.1,883.9,Drip,84.09,Male,36
111,Western,Maize,15.98,2025-01-30,2025-07-29,4816.9,385.7,873.7,Rain-fed,57.22,Female,29
112,Eastern,Maize,2.98,2025-02-28,2025-05-12,9993.5,76.7,845.6,Flood,88.66,Female,20
113,Nyanza,Maize,14.68,2025-05-07,2025-07-14,8619.4,428.5,554.6,Rain-fed,25.57,Male,26
114,Western,Beans,5.9,2025-04-23,2025-08-11,1197.4,312.5,931.4,Sprinkler,96.36,Female,53
115,Rift Valley,Beans,5.52,2025-05-10,2025-08-24,10966.0,447.8,1077.9,Drip,36.02,Male,55
116,Eastern,Beans,16.99,2025-01-03,2025-05-26,2625.7,296.3,463.9,Sprinkler,43.52,Female,65
117,Western,Beans,8.84,2025-05-18,2025-07-21,1904.6,373.5,711.2,Rain-fed,76.61,Female,41
118,Eastern,Wheat,2.22,2025-01-05,2025-04-24,6216.8,457.6,286.7,Drip,72.57,Male,73
119,Western,Potatoes,19.3,2025-03-23,2025-05-28,2341.0,135.3,1164.1,Rain-fed,72.12,Female,37
120,Eastern,Maize,12.05,2025-04-04,2025-08-02,7243.3,71.5,476.2,Sprinkler,81.2,Female,26
121,Nyanza,Wheat,16.53,2025-06-03,2025-08-30,3786.3,413.1,142.9,Sprinkler,34.07,Female,65
122,Western,Maize,1.2,2025-01-26,2025-04-14,9580.5,324.4,500.6,Rain-fed,93.23,Female,63
123,Central,Maize,3.16,2025-03-22,2025-07-10,1636.1,78.3,272.9,Drip,62.86,Male,67
124,Eastern,Rice,15.15,2025-06-08,2025-10-06,10996.0,487.5,1147.2,Sprinkler,88.64,Male,80
125,Western,Wheat,14.02,2025-06-19,2025-11-19,5641.3,335.5,246.3,Flood,77.68,Male,38
126,Western,Wheat,3.33,2025-03-22,2025-09-02,7523.8,204.7,721.7,Rain-fed,109.44,Male,45
127,Nyanza,Potatoes,16.47,2025-04-12,2025-06-24,2311.5,481.1,566.3,Drip,29.8,Female,66
128,Western,Wheat,13.45,2025-04-29,2025-10-03,10828.7,393.5,576.8,Rain-fed,72.95,Female,42
129,Central,Maize,18.26,2025-06-08,2025-10-15,1489.8,358.9,276.1,Sprinkler,22.33,Female,58
130,Rift Valley,Rice,19.1,2025-06-04,2025-10-22,1751.4,77.2,237.3,Sprinkler,32.51,Female,24
131,Central,Maize,15.72,2025-06-09,2025-08-12,11516.5,495.8,984.6,Drip,70.47,Female,31
132,Eastern,Beans,17.48,2025-04-14,2025-09-29,6180.7,411.1,186.5,Drip,91.9,Male,32
133,Eastern,Wheat,18.19,2025-01-18,2025-04-07,3754.2,161.0,662.1,Flood,103.29,Female,78
134,Eastern,Rice,9.46,2025-05-31,2025-11-10,9124.0,55.2,706.8,Rain-fed,97.37,Male,24
135,Rift Valley,Beans,8.01,2025-04-04,2025-09-16,10340.1,445.1,256.3,Drip,65.85,Male,44
136,Central,Wheat,11.44,2025-06-15,2025-09-01,8181.2,331.1,1181.9,Sprinkler,40.14,Male,27
137,Rift Valley,Rice,14.5,2025-01-21,2025-05-30,931.2,115.4,222.2,Rain-fed,103.45,Female,23
138,Eastern,Maize,19.84,2025-06-21,2025-11-10,1309.6,413.8,760.0,Rain-fed,99.94,Male,63
139,Western,Rice,8.89,2025-01-12,2025-06-29,5483.5,66.6,238.9,Sprinkler,56.01,Male,35
140,Western,Wheat,3.36,2025-06-10,2025-10-04,2025.3,388.1,918.1,Rain-fed,52.87,Male,72
141,Eastern,Rice,15.68,2025-03-30,2025-08-08,1855.5,84.2,509.3,Sprinkler,40.74,Female,32
142,Eastern,Beans,5.17,2025-01-28,2025-04-18,4449.8,205.0,1043.8,Flood,103.48,Female,76
143,Rift Valley,Rice,7.66,2025-04-16,2025-08-23,11019.6,181.8,292.2,Flood,69.5,Male,74
144,Western,Maize,1.39,2025-03-20,2025-07-23,10744.9,94.0,224.9,Rain-fed,95.24,Male,59
145,Western,Maize,10.42,2025-06-23,2025-11-23,2247.7,392.4,781.8,Sprinkler,118.47,Male,53
146,Eastern,Wheat,13.97,2025-05-28,2025-07-30,2712.4,318.1,1023.3,Sprinkler,68.4,Female,73
147,Central,Rice,12.99,2025-02-01,2025-06-22,957.3,196.2,882.8,Flood,87.88,Male,24
148,Central,Potatoes,11.6,2025-02-05,2025-08-04,11065.7,64.0,208.9,Flood,116.98,Female,72
149,Rift Valley,Beans,3.84,2025-05-27,2025-10-01,11701.9,353.8,157.0,Flood,92.6,Female,28
150,Nyanza,Maize,8.9,2025-02-05,2025-05-16,7762.7,142.2,124.5,Sprinkler,21.56,Female,49
151,Nyanza,Maize,11.39,2025-05-05,2025-08-08,7964.0,243.8,714.5,Rain-fed,104.69,Male,68
152,Rift Valley,Maize,2.1,2025-06-17,2025-08-25,6000.7,297.7,549.7,Drip,35.64,Male,36
153,Central,Wheat,14.08,2025-03-07,2025-07-16,2394.5,315.7,231.0,Drip,97.39,Male,41
154,Rift Valley,Potatoes,19.35,2025-01-09,2025-05-25,569.9,386.0,236.0,Flood,82.38,Female,49
155,Nyanza,Potatoes,11.78,2025-05-28,2025-08-17,3855.1,118.0,1093.9,Sprinkler,50.01,Male,64
156,Central,Beans,10.06,2025-02-03,2025-04-17,6698.4,219.7,114.9,Rain-fed,47.14,Female,78
157,Western,Wheat,11.38,2025-05-16,2025-08-13,5983.9,371.2,373.6,Flood,72.81,Male,59
158,Western,Potatoes,1.76,2025-03-17,2025-08-13,2583.5,295.3,1024.1,Flood,65.72,Female,62
159,Eastern,Maize,4.99,2025-05-10,2025-09-28,4265.1,23.5,411.7,Rain-fed,49.53,Male,52
160,Western,Beans,12.47,2025-02-18,2025-05-08,7402.2,36.6,330.9,Sprinkler,115.34,Male,58
161,Western,Maize,17.47,2025-04-18,2025-07-23,10605.4,92.0,740.3,Sprinkler,42.1,Male,56
162,Eastern,Wheat,10.81,2025-02-17,2025-05-22,5548.1,174.5,215.4,Sprinkler,111.37,Female,66
163,Nyanza,Beans,9.0,2025-02-04,2025-06-14,1082.1,86.9,933.7,Flood,91.33,Male,64
164,Western,Rice,9.58,2025-05-31,2025-09-19,5784.2,282.5,692.5,Flood,22.58,Female,59
165,Rift Valley,Rice,14.31,2025-01-16,2025-04-02,3248.3,168.5,856.8,Flood,26.19,Male,58
166,Eastern,Potatoes,3.57,2025-06-16,2025-11-01,7295.5,492.0,319.2,Rain-fed,107.31,Male,58
167,Eastern,Potatoes,10.72,2025-05-26,2025-09-11,664.1,268.7,317.8,Flood,106.12,Male,32
168,Western,maiz,6.87,2025-03-10,2025-06-04,8941.2,464.4,974.3,Flood,39.05,Female,54
169,Rift Valley,Beans,17.09,2025-01-09,2025-05-26,6283.2,217.6,468.4,Flood,26.54,Female,77
170,Nyanza,Wheat,17.44,2025-06-03,2025-08-05,1891.8,247.6,609.7,Sprinkler,41.09,Female,48
171,Eastern,Maize,15.97,2025-03-16,2025-07-02,2596.6,397.9,594.9,Sprinkler,93.59,Male,78
172,Western,Potatoes,19.39,2025-05-13,2025-10-30,5728.9,184.4,1134.6,Sprinkler,40.97,Male,80
173,Central,Maize,5.85,2025-04-28,2025-08-27,9983.0,199.4,915.7,Flood,72.45,Female,41
174,Eastern,Beans,19.59,2025-03-13,2025-08-28,1283.3,71.0,1039.7,Drip,86.69,Female,31
175,Rift Valley,Potatoes,1.45,2025-03-27,2025-07-04,3745.6,284.6,1053.1,Rain-fed,80.33,Female,48
176,Rift Valley,Wheat,18.77,2025-05-11,2025-11-02,6591.4,126.5,819.2,Sprinkler,87.25,Male,22
177,Rift Valley,Rice,19.96,2025-02-17,2025-04-24,1194.9,454.7,466.2,Rain-fed,42.6,Female,73
178,Eastern,Maize,8.63,2025-04-14,2025-09-08,5679.1,78.8,682.0,Flood,74.81,Male,23
179,Rift Valley,Maize,5.98,2025-03-17,2025-08-22,5745.1,408.3,947.4,Flood,49.81,Male,65
180,Central,Maize,3.36,2025-05-31,2025-09-05,3073.6,480.5,1018.4,Sprinkler,37.42,Female,48
181,Rift Valley,Potatoes,2.66,2025-04-30,2025-09-05,4306.1,219.8,487.5,Sprinkler,52.66,Female,20
182,Central,Maize,5.33,2025-06-11,2025-10-18,5520.6,472.4,915.2,Sprinkler,34.09,Male,73
183,Nyanza,Potatoes,19.22,2025-01-26,2025-05-19,2530.8,69.3,567.0,Rain-fed,84.21,Female,29
184,Eastern,Rice,4.4,2025-02-13,2025-08-12,7561.0,88.2,560.5,Drip,69.32,Male,37
185,Western,Beans,3.57,2025-03-19,2025-08-03,11237.1,425.7,227.6,Rain-fed,25.72,Female,39
186,Western,Potatoes,19.11,2025-06-17,2025-10-03,2787.1,52.3,258.5,Rain-fed,44.9,Male,38
187,Central,Wheat,12.39,2025-03-21,2025-05-30,10749.6,173.0,487.0,Flood,59.07,Male,57
188,Western,Beans,16.3,2025-02-24,2025-07-11,10807.5,366.2,606.1,Drip,27.25,Male,57
189,Central,Rice,6.82,2025-06-30,2025-12-19,5366.8,202.6,979.2,Flood,67.09,Male,64
190,Nyanza,Potatoes,7.7,2025-02-01,2025-04-13,11516.8,434.9,873.7,Drip,24.85,Male,72
191,Nyanza,maiz,5.74,2025-06-16,2025-11-13,4767.3,36.4,360.7,Sprinkler,71.39,Male,56
192,Eastern,Potatoes,12.0,2025-06-04,2025-11-28,6944.5,483.5,451.3,Drip,31.47,Male,69
193,Western,Wheat,11.17,2025-01-02,2025-03-31,9465.0,174.8,570.7,Flood,42.61,Female,65
194,Eastern,Rice,1.82,2025-02-22,2025-08-04,6230.4,252.2,818.7,Rain-fed,39.68,Female,75
195,Central,Wheat,3.24,2025-03-31,2025-08-17,813.3,96.8,939.6,Sprinkler,31.26,Male,40
196,Nyanza,Wheat,19.17,2025-04-22,2025-07-05,9150.8,204.7,643.5,Rain-fed,73.02,Male,20
197,Central,Maize,11.8,2025-01-04,2025-04-12,4056.0,60.3,247.5,Drip,104.42,Male,66
198,Nyanza,Beans,17.04,2025-06-29,2025-11-24,2120.0,378.0,469.7,Sprinkler,77.74,Male,41
199,Eastern,Beans,5.07,2025-02-15,2025-05-19,5185.7,120.0,689.2,Sprinkler,91.99,Male,68
200,Eastern,Rice,1.46,2025-03-21,2025-06-13,11256.2,134.5,445.5,Flood,95.92,Male,76
201,Rift Valley,Beans,8.43,2025-02-24,2025-06-02,9188.9,380.3,714.0,Sprinkler,68.0,Female,66
202,Central,Rice,14.29,2025-01-22,2025-04-14,10435.3,408.9,976.0,Rain-fed,54.16,Male,74
203,Eastern,Wheat,17.33,2025-01-09,2025-03-30,10814.3,414.0,250.2,Flood,55.63,Female,25
204,Rift Valley,Wheat,18.06,2025-06-18,2025-11-13,10461.1,469.8,1060.5,Rain-fed,56.75,Female,69
205,Nyanza,Wheat,10.1,2025-03-29,2025-09-14,685.7,221.7,927.3,Flood,100.02,Female,76
206,Eastern,Maize,16.4,2025-02-07,2025-07-19,7917.3,281.1,674.3,Flood,48.53,Male,62
207,Eastern,Beans,12.09,2025-04-29,2025-06-29,9807.3,470.3,934.2,Sprinkler,72.01,Female,42
208,Western,Potatoes,6.04,2025-05-30,2025-08-29,3232.8,398.1,507.6,Flood,91.99,Female,58
209,Rift Valley,Maize,6.88,2025-06-30,2025-10-25,7393.2,105.4,629.3,Drip,66.32,Female,75
210,Western,Wheat,4.61,2025-06-17,2025-10-23,6051.0,267.1,449.5,Rain-fed,111.74,Male,63
211,Central,Potatoes,1.32,2025-05-03,2025-09-05,10892.9,94.1,613.8,Flood,60.84,Female,52
212,Rift Valley,Maize,3.44,2025-05-02,2025-08-14,4424.1,194.5,192.0,Flood,105.72,Male,33
213,Nyanza,Beans,19.66,2025-06-01,2025-08-05,8357.5,171.0,946.1,Flood,25.58,Male,78
214,Central,Beans,11.81,2025-03-21,2025-07-30,3680.1,141.8,692.4,Sprinkler,91.8,Female,43
215,Central,Potatoes,13.69,2025-05-28,2025-09-13,11964.9,428.0,531.7,Flood,63.79,Female,45
216,Rift Valley,Rice,8.78,2025-02-15,2025-06-11,3126.4,180.6,1161.3,Sprinkler,117.67,Female,66
217,Central,maiz,18.28,2025-02-24,2025-05-02,544.9,384.7,986.7,Sprinkler,110.9,Female,42
218,Eastern,Beans,13.68,2025-06-21,2025-10-13,9338.5,273.8,1195.4,Drip,35.09,Female,52
219,Rift Valley,Rice,2.77,2025-03-13,2025-08-14,8583.0,360.1,987.7,Drip,100.62,Female,65
220,Eastern,Beans,5.0,2025-01-10,2025-07-04,11735.1,464.5,924.0,Drip,39.29,Male,48
221,Eastern,Maize,8.06,2025-02-08,2025-08-01,7087.0,65.1,1105.7,Drip,104.69,Female,40
222,Eastern,Maize,15.09,2025-06-26,2025-11-07,4983.3,81.1,465.7,Flood,95.56,Male,22
223,Rift Valley,Potatoes,12.0,2025-06-18,2025-09-17,8360.9,172.1,1129.6,Rain-fed,40.94,Female,64
224,Eastern,Potatoes,4.75,2025-04-08,2025-06-19,6924.1,330.8,1110.9,Flood,80.82,Female,79
225,Western,Potatoes,14.29,2025-04-24,2025-08-30,2024.5,372.2,406.1,Rain-fed,42.89,Female,30
226,Rift Valley,Beans,9.67,2025-03-17,2025-08-18,3227.0,409.5,817.7,Sprinkler,72.6,Male,79
227,Rift Valley,Beans,16.09,2025-01-11,2025-05-23,2322.2,342.6,431.0,Sprinkler,102.74,Male,32
228,Eastern,Potatoes,8.25,2025-01-10,2025-06-06,6078.0,235.0,1164.4,Flood,25.78,Female,44
229,Nyanza,Maize,10.14,2025-03-11,2025-07-22,8722.0,467.1,278.6,Flood,104.59,Female,77
230,Eastern,Rice,5.07,2025-03-28,2025-06-09,10978.0,300.0,358.2,Flood,105.3,Female,35
231,Rift Valley,Beans,19.34,2025-01-20,2025-06-18,9468.7,107.8,1025.2,Flood,26.0,Female,78
232,Eastern,Beans,15.51,2025-02-05,2025-06-15,10300.4,305.4,1194.6,Rain-fed,114.29,Female,27
233,Central,Beans,18.24,2025-01-08,2025-05-06,8799.3,351.2,187.5,Sprinkler,32.53,Male,62
234,Nyanza,Beans,5.66,2025-02-24,2025-05-12,2091.1,481.8,605.3,Flood,95.72,Female,74
235,Central,Potatoes,2.41,2025-03-30,2025-08-14,2121.4,237.7,1199.5,Rain-fed,105.87,Female,77
236,Rift Valley,Maize,4.04,2025-04-25,2025-08-27,5448.4,358.9,398.4,Flood,47.9,Male,48
237,Nyanza,Beans,9.92,2025-01-15,2025-04-18,9194.0,30.1,954.8,Drip,62.67,Female,71
238,Western,Potatoes,10.55,2025-01-03,2025-04-04,5324.2,272.8,1133.1,Drip,23.18,Male,52
239,Central,Beans,15.38,2025-01-21,2025-06-09,11302.2,478.6,324.5,Rain-fed,58.1,Male,58
240,Nyanza,Beans,17.03,2025-02-16,2025-05-31,3392.5,98.1,149.2,Flood,110.4,Male,80
241,Eastern,Potatoes,10.84,2025-04-29,2025-10-11,6440.9,430.0,667.3,Drip,28.26,Male,31
242,Central,Beans,12.58,2025-02-19,2025-05-07,9640.8,323.3,923.6,Flood,59.64,Male,65
