TransactionID,Date,StoreID,Region,ProductID,Category,UnitPrice,Quantity,Discount,Cost,Sales,Profit,CustomerID,Age,Gender,Membership,PaymentMethod,Promotion,Holiday,InventoryLevel,CustomerSatisfaction
20,2025-03-22,S017,East,P3520,Office Supplies,115.39,10,15,92.85,980.82,191.59,C27637,30,Male,Gold,Cash,Holiday Sale,0,37,2.6
21,2024-01-31,S002,South,P8137,Clothing,30.73,7,25,19.32,161.33,59.9,C34369,37,Male,Platinum,Mobile Money,Holiday Sale,0,383,2.4
22,2025-11-09,S014,West,P4095,Office Supplies,157.11,4,15,92.51,534.17,219.64,C20101,75,Female,Silver,Mobile Money,Holiday Sale,1,374,3.9
23,2024-12-27,S018,Central,P1285,Office Supplies,111.31,2,15,96.91,189.23,24.48,C78271,40,Female,Platinum,Card,Clearance,0,54,3.0
24,2024-03-25,S007,West,P3945,Office Supplies,885.76,2,20,678.29,1417.22,331.95,C26534,74,Female,Gold,Cash,Holiday Sale,0,169,1.1
25,2025-11-08,S013,North,P1923,Furniture,150.68,8,15,131.81,1024.62,128.32,C24992,47,Male,Gold,Cash,Weekend Deal,1,489,4.2
26,2024-12-15,S005,North,P1156,Clothing,210.32,4,5,171.18,799.22,148.73,C52910,60,Female,Platinum,Card,None,0,281,1.3
27,2024-01-01,S020,Central,P5313,Office Supplies,925.15,5,5,508.87,4394.46,1977.33,C82768,41,Female,Gold,Online,None,1,179,2.3
28,2024-01-03,S010,North,P7201,Furniture,842.44,13,10,591.85,9856.55,2931.9,C89955,38,Female,Silver,Card,Clearance,0,98,1.8
29,2025-07-20,S018,South,P7345,Electronics,361.48,13,15,221.7,3994.35,1544.57,C44126,64,Male,Gold,Card,Weekend Deal,0,51,1.5
30,2024-03-16,S012,North,P5175,Clothing,715.88,2,10,392.66,1288.58,581.8,C27051,34,Female,Silver,Mobile Money,Loyalty Offer,0,341,3.1
31,2025-10-15,S010,West,P4849,Electronics,975.29,6,10,799.44,5266.57,949.59,C22264,71,Male,Silver,Online,Clearance,1,482,3.7
32,2024-08-02,S008,North,P7835,Furniture,821.18,3,15,410.7,2094.01,1046.72,C20991,29,Female,None,Card,Clearance,1,33,4.5
33,2024-02-24,S018,,P6084,Clothing,126.41,10,15,76.66,1074.48,422.88,C88308,53,Female,Silver,Card,Weekend Deal,1,450,4.8
34,2024-06-06,S006,North,P4643,Electronics,429.84,8,0,287.6,3438.72,1137.92,C68848,55,Male,None,Online,Loyalty Offer,1,38,4.8
35,2025-07-01,S010,North,P4411,Electronics,863.1,2,15,446.3,1467.27,708.56,C30471,72,Male,Silver,Online,Clearance,1,170,3.6
36,2024-04-16,S003,North,P4538,Furniture,644.71,7,15,492.06,3836.02,908.27,C96050,69,Male,Platinum,Mobile Money,Loyalty Offer,1,361,2.1
37,2025-11-07,S018,North,P1038,Groceries,413.92,3,20,294.57,993.41,286.44,C89155,63,Male,Silver,Online,Holiday Sale,1,15,2.5
38,2024-10-18,S018,Central,P6548,Furniture,808.96,8,10,614.13,5824.51,1402.78,C32175,20,Female,Silver,Cash,Clearance,1,386,2.7
39,2024-08-25,S019,West,P3224,Groceries,181.32,2,25,135.49,271.98,68.74,C99080,63,Male,None,Card,Loyalty Offer,1,171,2.3
40,2025-10-26,S009,East,P8878,Furniture,606.7,14,15,493.96,7219.73,1341.61,C40838,24,Male,Gold,Mobile Money,None,0,75,4.2
41,2024-07-02,S018,South,P9333,Furniture,171.4,11,15,136.73,1602.59,324.16,C73688,50,Male,None,Card,Weekend Deal,1,346,3.0
42,2025-04-28,S013,East,P1774,Office Supplies,441.57,2,15,352.64,750.67,151.18,C64583,62,Male,Platinum,Online,Clearance,0,57,1.2
43,2025-12-18,S018,Central,P8800,Groceries,971.96,6,10,788.58,5248.58,990.25,C54715,60,Male,Silver,Card,Holiday Sale,1,103,4.3
44,2024-12-22,S005,East,P6840,Groceries,837.28,7,25,699.27,4395.72,724.55,C50731,61,Male,Platinum,Card,None,0,285,1.5
45,2025-02-13,S016,North,P4087,Furniture,519.51,10,15,366.86,4415.84,1297.52,C55755,32,Female,None,Online,None,1,37,2.4
46,2025-12-10,S004,East,P3865,Furniture,938.54,2,5,565.81,1783.23,708.19,C20800,73,Male,None,Online,Clearance,1,365,1.2
47,2025-02-06,S013,East,P7025,Clothing,56.29,15,10,49.46,759.92,92.2,C18271,39,Male,Silver,Cash,Clearance,1,256,2.3
48,2024-10-20,S005,East,P8728,Clothing,826.1,13,10,517.49,9665.37,3610.74,C39673,52,Male,None,Card,Holiday Sale,1,123,3.8
49,2024-06-15,S007,West,P8902,Clothing,560.32,14,10,484.25,7060.03,958.48,C72394,58,Female,None,Mobile Money,Clearance,1,40,3.6
50,2025-01-26,S019,Central,P9689,Furniture,867.02,2,20,726.33,1387.23,225.1,C40559,67,Male,Gold,Online,Loyalty Offer,1,346,3.4
51,2025-06-16,S008,West,P2358,Groceries,609.36,13,10,347.33,7129.51,3065.75,C60538,53,Male,Platinum,Online,Holiday Sale,0,176,3.8
52,2024-06-13,S015,East,P4801,Groceries,132.71,13,10,88.44,1552.71,517.96,C35714,36,Male,Silver,Mobile Money,Holiday Sale,1,13,1.7
53,2024-11-29,S002,North,P4987,Electronics,772.83,10,25,634.2,5796.23,1039.72,C55538,31,Male,Gold,Online,Clearance,0,48,4.9
54,2024-04-14,S014,South,P4891,Clothing,526.56,10,25,313.21,3949.2,1600.12,C32390,46,Male,Platinum,Online,None,1,159,2.7
55,2024-08-22,S010,West,P9286,Furniture,726.9,3,20,405.24,1744.56,771.98,C99061,55,Male,Gold,Card,Holiday Sale,1,458,4.0
56,2025-05-25,S013,South,P4796,Groceries,98.97,11,5,77.23,1034.24,227.18,C66597,63,Male,Platinum,Mobile Money,Loyalty Offer,1,136,1.9
57,2025-12-29,S003,West,P9403,Clothing,155.71,4,5,78.41,591.7,293.74,C73999,22,Male,None,Mobile Money,Loyalty Offer,0,223,3.2
58,2024-09-28,S011,South,P8226,Office Supplies,100.37,8,25,51.16,602.22,295.26,C49636,25,Female,None,Mobile Money,Weekend Deal,0,118,4.9
59,2025-06-23,S003,North,P1150,Clothing,960.2,12,10,582.8,10370.16,4075.92,C59045,71,Female,None,Online,Holiday Sale,0,123,1.7
60,2024-05-27,S018,South,P8017,Clothing,676.83,4,25,461.09,2030.49,647.22,C59492,28,Female,Platinum,Online,Loyalty Offer,1,351,3.6
61,2025-09-04,S008,South,P6634,Office Supplies,708.31,4,15,418.03,2408.25,986.95,C90156,38,Male,None,Mobile Money,Clearance,0,121,1.1
62,2025-11-16,S006,South,P9694,Furniture,137.61,5,5,95.86,653.65,198.31,C32685,59,Female,None,Online,None,1,288,2.7
63,2024-05-18,S003,South,P8178,Clothing,973.8,12,25,613.51,8764.2,3242.61,C22095,41,Male,None,Mobile Money,Clearance,1,317,1.2
64,2025-06-14,S016,North,P7118,Furniture,242.97,8,15,143.75,1652.2,674.7,C35299,32,Male,Silver,Cash,Loyalty Offer,1,275,3.5
65,2025-02-05,S007,Central,P4498,Furniture,294.61,15,5,185.52,4198.19,1554.53,C14575,60,Male,Platinum,Mobile Money,Clearance,1,70,3.2
66,2025-01-16,S008,East,P2742,Groceries,394.13,3,5,221.13,1123.27,493.05,C67412,72,Male,Silver,Mobile Money,Loyalty Offer,0,331,3.5
67,2024-04-18,S006,South,P5966,Office Supplies,955.69,13,25,607.46,9317.98,3395.24,C42238,46,Female,Gold,Mobile Money,Weekend Deal,1,298,3.8
68,2025-06-05,S019,East,P3592,Office Supplies,677.82,15,25,470.56,7625.48,2331.68,C75151,51,Male,Gold,Card,Clearance,0,341,2.4
69,2024-01-26,S007,South,P3804,Groceries,681.9,11,5,398.01,7125.85,2966.65,C26642,34,Male,None,Card,Loyalty Offer,1,193,4.0
70,2025-08-29,S020,South,P3621,Furniture,921.66,2,25,818.63,1382.49,154.54,C17042,73,Female,Platinum,Mobile Money,Holiday Sale,1,203,3.2
71,2025-01-24,S006,Central,P7937,Furniture,909.66,9,10,690.81,7368.25,1772.69,C52898,32,Female,Silver,Card,Clearance,1,397,2.8
72,2025-10-01,S002,West,P2027,Furniture,782.83,2,0,547.26,1565.66,471.14,C22505,26,Female,Gold,Mobile Money,Holiday Sale,0,384,2.0
73,2024-12-03,S018,South,P3699,Office Supplies,27.9,2,20,16.38,44.64,18.43,C72754,55,Male,Silver,Online,None,1,32,3.6
74,2024-05-26,S015,Central,P9739,Furniture,354.27,14,25,301.23,3719.84,556.92,C82845,26,Male,Gold,Card,Holiday Sale,0,445,4.9
75,2024-01-05,S009,East,P6944,Electronics,768.14,5,0,458.48,3840.7,1548.3,C41334,50,Female,Silver,Cash,Weekend Deal,0,395,3.7
76,2025-01-11,S011,West,P4429,Groceries,522.51,13,20,344.11,5434.1,1855.36,C67260,49,Male,Silver,Cash,None,0,460,2.9
77,2024-01-11,S018,South,P6684,Furniture,200.96,14,25,143.03,2110.08,608.27,C26943,62,Male,Platinum,Mobile Money,None,1,9,4.5
78,2025-11-12,S015,East,P3012,Furniture,278.11,9,0,168.18,2502.99,989.37,C70894,60,Male,Platinum,Mobile Money,Clearance,1,86,1.8
79,2024-04-05,S016,South,P8299,Office Supplies,228.11,11,15,142.76,2132.83,798.02,C40754,62,Female,Platinum,Mobile Money,Loyalty Offer,1,342,4.5
80,2024-04-20,S015,South,P3274,Office Supplies,593.5,12,0,468.97,7122.0,1494.36,C66184,26,Female,Silver,Mobile Money,Holiday Sale,0,43,1.4
81,2024-11-19,S014,East,P2294,Furniture,962.98,10,10,611.63,8666.82,3162.15,C84305,65,Male,None,Mobile Money,Clearance,0,134,4.5
82,2025-04-12,S003,South,P4569,Furniture,227.27,8,25,162.86,1363.62,386.46,C77140,73,Female,Gold,Mobile Money,Holiday Sale,1,41,2.6
83,2024-06-11,S001,East,P9253,Groceries,822.99,7,25,679.57,4320.7,752.95,C11010,72,Male,None,Online,Holiday Sale,1,159,2.2
84,2025-03-28,S008,North,P1652,Clothing,954.68,1,25,818.96,716.01,101.79,C48433,71,Male,None,Cash,Holiday Sale,1,424,1.7
85,2025-07-20,S018,Central,P9490,Electronics,813.87,3,0,454.23,2441.61,1078.92,C17760,74,Male,Gold,Online,Clearance,1,93,3.8
86,2025-09-11,S009,South,P7286,Groceries,873.38,2,0,731.91,1746.76,282.94,C92758,39,Male,Gold,Card,Holiday Sale,1,402,1.7
87,2025-05-23,S018,West,P5633,Furniture,23.81,14,5,14.89,316.67,118.64,C24693,67,Male,None,Mobile Money,None,0,190,3.7
88,2025-11-07,S014,North,P8829,Office Supplies,27.88,5,15,24.6,118.49,13.94,C39071,31,Female,Silver,Online,Weekend Deal,0,334,1.8
89,2025-06-27,S007,South,P5225,Office Supplies,48.84,9,25,41.11,329.67,52.18,C47507,66,Male,Silver,Cash,Weekend Deal,1,222,3.7
90,2025-10-27,S019,East,P6086,Office Supplies,19.15,11,15,12.69,179.05,60.4,C74804,42,Male,Gold,Cash,Clearance,0,185,1.8
91,2024-06-26,S020,North,P4632,Clothing,735.23,12,0,634.36,8822.76,1210.44,C96897,41,Female,Gold,Mobile Money,Loyalty Offer,0,266,2.9
92,2025-02-02,S001,North,P9854,Electronics,855.61,1,10,526.13,770.05,296.53,C56851,64,Male,Platinum,Cash,Loyalty Offer,0,22,3.1
93,2025-06-14,S002,South,P5652,Clothing,901.11,9,25,670.88,6082.49,1554.05,C54023,52,Female,Platinum,Card,Loyalty Offer,0,457,4.2
94,2024-06-22,S009,West,P9182,Electronics,934.81,8,15,559.35,6356.71,2553.13,C54317,36,Male,Gold,Online,Holiday Sale,1,355,2.4
95,2024-02-17,S004,Central,P3920,Clothing,326.68,9,10,276.97,2646.11,402.65,C43343,30,Female,Gold,Online,Weekend Deal,0,446,4.7
96,2025-03-10,S012,West,P9005,Electronics,689.04,13,20,440.38,7166.02,2586.06,C86851,57,Male,None,Card,Loyalty Offer,1,490,4.7
97,2024-06-30,S016,East,P3366,Clothing,496.18,5,10,271.47,2232.81,1011.19,C18961,58,Male,Platinum,Cash,Clearance,0,493,4.7
98,2025-12-17,S006,Central,P4913,Electronics,655.5,1,25,443.1,491.62,159.3,C38018,51,Male,Gold,Cash,None,0,398,1.5
99,2024-08-28,S016,West,P6651,Furniture,341.54,9,25,282.94,2305.39,395.55,C52182,21,Male,None,Card,Loyalty Offer,0,416,2.1
100,2024-03-09,S001,Central,P2451,Clothing,868.29,13,25,778.67,8465.83,873.79,C30227,61,Female,None,Online,None,0,116,1.3
101,2024-07-12,S007,Central,P2345,Clothing,170.37,14,15,137.61,2027.4,389.84,C88761,21,Female,None,Online,Clearance,1,47,1.5
102,2025-03-10,S012,Central,P4323,Office Supplies,488.39,4,0,361.19,1953.56,508.8,C52833,40,Male,Platinum,Cash,None,1,380,1.3
103,2025-05-17,S019,North,P6631,Electronics,521.43,9,10,326.84,4223.58,1576.18,C34149,44,Female,None,Online,Loyalty Offer,1,157,4.1
104,2024-08-19,S019,West,P6506,Office Supplies,374.73,14,20,259.89,4196.98,1286.21,C20571,35,Female,Gold,Card,None,0,362,3.2
105,2025-03-13,S002,West,P4022,Office Supplies,577.06,14,25,502.88,6059.13,778.89,C53577,21,Male,None,Cash,Weekend Deal,0,203,3.1
106,2024-05-17,S004,South,P2162,Clothing,329.6,15,10,248.52,4449.6,1094.58,C53355,51,Male,None,Online,Weekend Deal,0,274,1.3
107,2025-11-19,S002,North,P3008,Furniture,847.11,3,15,515.7,2160.13,845.1,C91316,47,Male,Gold,Card,Clearance,0,464,4.2
108,2025-12-01,S018,South,P3835,Clothing,430.77,5,0,217.4,2153.85,1066.85,C97156,53,Female,Platinum,Mobile Money,Loyalty Offer,1,215,3.5
109,2024-10-30,S002,South,P5147,Office Supplies,271.14,2,0,220.3,542.28,101.68,C30901,39,Female,None,Card,Holiday Sale,0,315,2.4
110,2024-09-17,S018,Central,P9456,Clothing,194.05,14,15,131.93,2309.2,739.23,C43349,73,Female,Gold,Cash,Weekend Deal,0,89,4.2
111,2024-05-08,S007,South,P8451,Furniture,458.84,3,25,235.01,1032.39,503.62,C22445,69,Male,Silver,Cash,Loyalty Offer,0,87,3.7
112,2025-05-23,S006,North,P2215,Office Supplies,397.07,10,5,295.82,3772.16,961.88,C93560,41,Male,Silver,Online,Clearance,1,172,3.4
113,2024-10-11,S019,Central,P8897,Clothing,64.13,1,25,54.66,48.1,7.1,C14572,74,Female,Platinum,Online,None,1,186,2.0
114,2025-12-28,S001,South,P8274,Electronics,264.02,6,5,135.28,1504.91,733.82,C72462,65,Female,Gold,Online,Clearance,1,362,3.5
115,2025-01-16,S020,East,P9643,Clothing,860.05,9,10,700.7,6966.4,1290.73,C81450,38,Female,None,Card,Loyalty Offer,0,304,3.5
116,2024-04-09,S020,West,P5482,Electronics,737.06,3,25,610.62,1658.38,284.49,C49132,38,Male,Platinum,Card,Loyalty Offer,1,425,2.4
117,2024-12-28,S005,West,P1915,Electronics,477.93,2,20,384.2,764.69,149.97,C89948,44,Male,Platinum,Card,Holiday Sale,0,129,2.9
118,2025-04-29,S020,East,P9024,Electronics,696.02,13,0,591.1,9048.26,1363.96,C86538,46,Male,Platinum,Card,Weekend Deal,0,327,4.7
119,2024-08-22,S009,South,P2663,Clothing,597.32,7,15,531.1,3554.05,394.01,C75847,35,Female,Platinum,Card,Weekend Deal,0,68,2.9
120,2025-08-20,S013,North,P9022,Electronics,102.88,5,5,88.82,488.68,66.79,C94398,64,Male,None,Online,None,0,97,4.4
121,2025-01-25,S015,West,P9095,Furniture,296.35,7,0,213.15,2074.45,582.4,C65925,71,Female,None,Online,None,1,246,2.2
122,2025-06-15,S016,East,P1097,Office Supplies,129.93,8,25,91.1,779.58,232.98,C79611,56,Female,None,Cash,Weekend Deal,1,36,5.0
123,2024-04-23,S010,South,P4316,Groceries,264.72,1,0,203.86,264.72,60.86,C23136,27,Male,Gold,Online,None,1,164,4.5
124,2024-06-26,S003,North,P4823,Electronics,819.02,15,10,553.91,11056.77,3578.99,C54304,65,Male,Silver,Mobile Money,None,0,160,1.3
125,2025-11-16,S020,East,P7482,Office Supplies,499.74,14,0,271.38,6996.36,3197.04,C90299,45,Male,Silver,Mobile Money,None,0,312,1.9
126,2025-12-09,S014,South,P8125,Clothing,79.69,11,0,53.32,876.59,290.07,C58744,43,Female,Gold,Online,Holiday Sale,1,389,2.0
127,2025-01-16,S019,East,P5235,Office Supplies,763.33,6,0,501.16,4579.98,1573.02,C76800,28,Male,Silver,Online,None,0,273,2.0
128,2024-09-26,S016,East,P4692,Office Supplies,481.07,10,5,333.39,4570.16,1402.96,C54190,48,Male,Platinum,Cash,Loyalty Offer,0,269,3.4
129,2024-08-23,S014,North,P8879,Electronics,54.0,13,5,47.2,666.9,83.98,C84438,69,Female,Platinum,Card,Weekend Deal,0,367,2.3
130,2025-10-08,S009,East,P4558,Office Supplies,249.04,12,0,165.61,2988.48,1001.16,C15858,54,Female,Gold,Card,Weekend Deal,0,56,2.7
131,2024-11-17,S006,South,P4734,Office Supplies,703.09,14,20,506.29,7874.61,2204.16,C89734,66,Male,Silver,Card,Loyalty Offer,1,232,2.4
132,2025-07-28,S018,East,P7736,Furniture,158.41,2,25,98.14,237.62,90.41,C64702,69,Male,Gold,Mobile Money,None,0,164,3.1
133,2025-09-13,S001,North,P2415,Furniture,72.33,13,15,61.2,799.25,122.99,C96686,60,Female,Gold,Online,Weekend Deal,0,476,3.1
134,2024-01-12,S005,East,P1194,Office Supplies,64.72,12,20,39.72,621.31,240.0,C38796,73,Female,Gold,Cash,Clearance,1,108,3.4
135,2025-09-21,S013,Central,P1546,Groceries,799.04,12,20,564.73,7670.78,2249.38,C54049,63,Male,None,Cash,Clearance,0,113,3.7
136,2024-10-14,S015,,P3984,Groceries,392.83,11,20,231.81,3456.9,1416.98,C43230,69,Female,Platinum,Card,Loyalty Offer,1,118,4.9
137,2025-12-25,S007,West,P2555,Electronics,26.52,12,15,14.26,270.5,125.05,C92896,67,Female,Platinum,Online,Holiday Sale,0,286,1.2
138,2024-06-10,S001,Central,P3130,Furniture,138.85,4,15,109.54,472.09,99.65,C39615,26,Female,Gold,Card,Loyalty Offer,0,449,3.8
139,2025-05-05,S004,Central,P5796,Electronics,513.73,5,0,264.03,2568.65,1248.5,C29522,34,Male,Gold,Online,Clearance,1,109,3.2
140,2025-08-15,S013,North,P1729,Clothing,101.73,8,25,65.93,610.38,214.8,C77131,72,Male,None,Card,Holiday Sale,0,296,1.6
141,2024-10-28,S012,North,P2969,Groceries,505.83,13,15,372.74,5589.42,1470.64,C54101,47,Male,Gold,Mobile Money,Weekend Deal,0,67,3.4
142,2024-10-18,S015,South,P8041,Groceries,125.29,10,25,104.56,939.68,155.48,C12970,23,Female,Gold,Card,Loyalty Offer,1,246,4.9
143,2024-08-12,S004,West,P1944,Groceries,868.25,8,0,590.3,6946.0,2223.6,C44790,22,Male,Gold,Card,Loyalty Offer,1,67,3.3
144,2024-08-16,S011,South,P7751,Groceries,522.43,11,15,305.07,4884.72,2032.32,C48924,55,Male,Silver,Card,None,0,109,1.6
145,2025-05-29,S004,,P4559,Groceries,81.41,8,25,71.24,488.46,61.02,C74548,30,Female,Silver,Cash,None,0,189,5.0
146,2024-07-06,S013,North,P9933,Clothing,859.7,8,5,484.51,6533.72,2851.44,C35068,53,Male,None,Online,Weekend Deal,1,379,3.4
147,2025-07-11,S008,West,P5871,Clothing,16.77,9,20,11.77,120.74,36.0,C29265,43,Female,Silver,Card,Weekend Deal,1,159,2.3
148,2024-02-08,S019,North,P2784,Office Supplies,654.14,8,0,506.57,5233.12,1180.56,C78717,41,Male,Gold,Cash,Holiday Sale,1,466,2.4
149,2024-10-29,S015,North,P8515,Office Supplies,288.52,8,25,170.0,1731.12,711.12,C74908,31,Male,Gold,Online,None,0,387,3.7
150,2025-11-23,S014,East,P7879,Electronics,274.29,2,20,245.64,438.86,45.84,C89556,66,Female,None,Card,Holiday Sale,1,216,4.1
151,2025-03-05,S013,West,P7242,Groceries,837.4,2,0,520.81,1674.8,633.18,C51716,66,Female,Platinum,Online,Holiday Sale,0,427,3.5
152,2025-02-14,S016,East,P7721,Clothing,29.71,1,10,17.23,26.74,11.23,C45095,43,Female,Silver,Card,Holiday Sale,0,64,3.3
153,2024-11-07,S018,West,P6103,Electronics,562.43,14,0,288.49,7874.02,3835.16,C11813,63,Male,Platinum,Online,None,1,472,2.7
154,2025-10-03,S012,South,P9112,Electronics,515.14,9,0,267.07,4636.26,2232.63,C76883,61,Female,Silver,Mobile Money,None,1,71,1.4
155,2025-04-02,S009,West,P1253,Clothing,779.65,7,10,422.14,4911.8,2252.31,C70335,37,Female,Silver,Cash,Loyalty Offer,0,340,3.5
156,2025-02-14,S008,South,P7519,Electronics,32.46,4,10,17.35,116.86,54.4,C25453,46,Female,Silver,Online,Holiday Sale,1,328,3.8
157,2024-04-11,S013,North,P4832,Electronics,168.4,9,5,94.61,1439.82,630.9,C43946,20,Male,Gold,Mobile Money,Holiday Sale,0,464,2.2
158,2024-06-14,S017,Central,P6926,Furniture,302.75,15,10,152.0,4087.12,2035.12,C89664,31,Female,None,Cash,Clearance,1,350,3.2
159,2025-01-31,S001,North,P2922,Clothing,682.86,1,20,432.55,546.29,200.25,C66814,63,Male,Gold,Online,Holiday Sale,0,455,1.1
160,2025-04-14,S001,West,P8260,Office Supplies,56.54,2,10,34.32,101.77,40.0,C59822,18,Female,Gold,Cash,Clearance,1,427,1.6
161,2024-11-03,S005,West,P6414,Furniture,321.91,12,5,202.75,3669.77,1358.42,C15850,22,Male,None,Card,Loyalty Offer,0,279,3.8
162,2025-02-01,S002,West,P2870,Furniture,402.06,7,5,286.96,2673.7,765.42,C12754,25,Female,Silver,Card,Holiday Sale,1,205,3.6
163,2025-07-12,S008,Central,P7547,Office Supplies,337.58,8,25,293.45,2025.48,264.78,C63666,42,Female,None,Cash,Holiday Sale,1,88,3.7
164,2025-12-13,S009,Central,P1445,Electronics,271.33,13,0,198.79,3527.29,943.02,C99224,31,Male,Gold,Cash,Weekend Deal,1,97,2.0
165,2024-09-06,S014,,P2765,Office Supplies,264.26,13,0,184.38,3435.38,1038.44,C32227,33,Male,Silver,Card,Holiday Sale,1,318,4.2
166,2024-07-15,S020,Central,P7263,Groceries,596.74,11,15,458.45,5579.52,1293.01,C45085,49,Male,Platinum,Online,Holiday Sale,1,238,4.7
167,2024-10-28,S015,East,P5671,Office Supplies,153.6,10,0,106.33,1536.0,472.7,C70408,20,Male,Gold,Cash,Holiday Sale,1,455,1.7
168,2025-07-11,S001,East,P6037,Groceries,946.22,7,25,585.03,4967.65,1896.25,C57152,75,Male,Silver,Mobile Money,Clearance,1,377,2.9
169,2025-11-20,S009,South,P3262,Electronics,282.77,15,0,161.54,4241.55,1818.45,C57120,60,Female,Platinum,Card,Holiday Sale,0,199,2.6
170,2025-01-13,S010,South,P4407,Electronics,93.14,13,5,69.05,1150.28,297.51,C75965,24,Male,Gold,Online,None,1,356,1.7
171,2025-03-10,S010,North,P8304,Electronics,708.81,8,0,518.37,5670.48,1523.52,C82881,49,Male,Platinum,Mobile Money,Weekend Deal,0,498,2.9
172,2025-11-05,S015,East,P3550,Clothing,77.07,15,15,44.86,982.64,410.68,C60012,35,Female,Gold,Mobile Money,Clearance,0,238,2.2
173,2024-11-12,S002,East,P7656,Furniture,782.9,5,10,414.67,3523.05,1657.03,C99494,55,Female,Silver,Card,Loyalty Offer,0,94,3.8
174,2025-10-26,S007,West,P3743,Electronics,68.23,12,15,54.48,695.95,140.25,C14989,45,Male,Gold,Mobile Money,None,1,236,1.4
175,2025-09-06,S015,East,P5186,Office Supplies,655.12,2,15,403.36,1113.7,427.99,C35538,48,Female,Silver,Cash,Loyalty Offer,0,158,1.1
176,2024-08-20,S010,Central,P6718,Groceries,809.21,9,25,460.31,5462.17,2355.08,C85955,47,Male,Platinum,Online,Clearance,0,259,2.8
177,2024-03-17,S018,North,P8437,Office Supplies,861.11,4,20,583.56,2755.55,888.16,C53349,21,Male,Silver,Card,Clearance,0,17,2.4
178,2025-09-19,S009,South,P7225,Groceries,375.51,9,25,229.52,2534.69,985.43,C70810,61,Male,Gold,Card,Loyalty Offer,1,376,2.6
179,2025-08-15,S011,East,P4861,Furniture,995.29,10,15,796.81,8459.97,1687.08,C50238,42,Male,None,Cash,Weekend Deal,1,235,1.1
180,2025-05-22,S014,North,P5036,Electronics,711.53,10,15,370.06,6048.0,2902.49,C47321,25,Male,None,Cash,None,0,104,2.3
181,2025-08-02,S010,South,P6523,Office Supplies,666.02,9,0,460.78,5994.18,1847.16,C79427,42,Male,Gold,Mobile Money,Loyalty Offer,0,387,1.1
