TransactionID,Date,Region,Category,Quantity,UnitPrice,Discount,Sales,Gender,Age
31,2025-07-28,North,Furniture,8,243.27,0.15,1654.236,Female,18
32,2025-07-19,East,Clothing,5,463.63,0.15,1970.4275,Female,27
33,2025-04-08,North,Office Supplies,5,112.76,0.0,563.8000000000001,Male,21
34,2025-10-27,South,Electronics,8,253.91,,2031.28,Male,29
35,2025-02-05,West,Electronics,10,38.64,0.05,367.08,Male,55
36,2025-11-01,East,Office Supplies,1,311.59,0.15,264.8515,Male,60
37,2025-06-10,East,Clothing,4,136.48,0.05,518.6239999999999,Female,66
38,2025-02-07,North,Electronics,1,231.85,,231.85,Male,50
39,2025-05-16,South,Office Supplies,3,466.96,0.0,1400.8799999999999,Female,28
40,2025-08-13,North,Office Supplies,9,353.25,,3179.25,Male,26
41,2025-05-16,South,Office Supplies,2,445.41,,890.82,Female,56
42,2025-04-18,West,Office Supplies,6,105.78,0.1,571.2120000000001,Male,23
43,2025-11-21,North,Office Supplies,7,415.53,0.0,2908.71,Male,58
44,2025-05-15,West,Electronics,3,371.91,,1115.73,Male,22
45,2025-12-20,South,Clothing,3,275.07,0.1,742.6890000000001,Male,20
46,2025-06-07,East,Furniture,6,450.0,0.0,2700.0,Male,60
47,2025-02-22,South,Furniture,6,391.16,0.15,1994.916,Male,69
48,2025-04-01,West,Furniture,7,17.27,0.1,108.801,Female,28
49,2025-12-26,West,Furniture,2,194.36,0.0,388.72,Male,70
50,2025-08-24,South,Electronics,6,156.07,0.05,889.5989999999999,Male,43
51,2025-06-18,East,Clothing,5,432.85,0.1,1947.825,Female,19
52,2025-03-01,North,Electronics,5,93.39,0.1,420.255,Female,40
53,2025-06-10,North,Clothing,7,305.07,,2135.49,Male,34
54,2025-01-23,South,Office Supplies,7,5.84,,40.879999999999995,Female,22
55,2025-12-07,East,Office Supplies,6,313.46,0.0,1880.7599999999998,Female,38
56,2025-07-26,West,Clothing,5,279.43,0.05,1327.2925,Male,57
57,2025-10-19,East,Office Supplies,5,206.01,0.0,1030.05,Male,45
58,2025-10-24,West,Clothing,10,329.08,0.15,2797.18,Male,50
59,2025-08-31,East,Electronics,3,331.13,0.1,894.051,Male,61
60,2025-06-08,North,Electronics,4,404.25,0.05,1536.1499999999999,Male,48
61,2025-11-09,South,Clothing,2,230.43,,460.86,Female,43
62,2025-05-05,North,Clothing,3,329.75,0.0,989.25,Male,29
63,2025-12-23,South,Electronics,9,234.95,,2114.5499999999997,Female,26
64,2025-08-26,East,Clothing,9,494.01,,4446.09,Female,53
65,2025-08-17,West,Office Supplies,3,373.11,0.15,951.4304999999999,Male,58
66,2025-05-22,East,Clothing,9,244.88,0.05,2093.724,Male,63
67,2025-05-27,North,Furniture,4,139.5,0.1,502.2,Male,32
68,2025-07-16,West,Clothing,3,354.68,0.0,1064.04,Female,52
69,2025-08-27,West,Electronics,7,35.82,0.15,213.129,Female,48
70,2025-01-04,West,Furniture,6,152.81,0.15,779.331,Female,32
71,2025-05-20,East,Clothing,7,245.39,0.15,1460.0705,Male,47
72,2025-03-07,North,Electronics,10,269.39,0.15,2289.8149999999996,Female,26
73,2025-08-25,East,Furniture,3,29.89,0.15,76.2195,Female,38
74,2025-06-22,East,Electronics,7,142.74,0.15,849.303,Female,19
75,2025-10-04,South,Electronics,1,499.95,0.1,449.955,Male,66
76,2025-01-16,South,Furniture,4,103.68,0.0,414.72,Male,48
77,2025-12-09,West,Office Supplies,2,284.16,0.05,539.904,Female,28
78,2025-11-07,South,Office Supplies,10,482.05,0.0,4820.5,Male,55
79,2025-01-14,,Furniture,5,290.02,0.15,1232.5849999999998,Male,55
80,2025-12-20,North,Electronics,4,55.44,0.1,199.584,Female,52
81,2025-08-08,North,Clothing,6,39.13,0.1,211.30200000000002,Female,24
82,2025-08-10,South,Clothing,6,319.61,0.15,1630.011,Male,64
83,2025-09-25,West,Clothing,5,309.88,,1549.4,Female,70
84,2025-10-31,North,Office Supplies,5,164.54,0.05,781.5649999999999,Female,33
85,2025-08-26,East,Electronics,10,307.11,0.15,2610.4350000000004,Female,38
86,2025-04-04,East,Office Supplies,8,110.0,0.1,792.0,Female,53
87,2025-01-06,South,Clothing,9,474.29,0.0,4268.610000000001,Female,53
88,2025-05-04,West,Electronics,8,324.72,0.15,2208.096,Male,36
89,2025-04-24,East,Clothing,7,347.43,0.1,2188.809,Female,45
90,2025-10-09,East,Office Supplies,6,179.15,0.15,913.6650000000001,Female,32
91,2025-03-03,South,Furniture,4,161.2,,644.8,Male,65
92,2025-09-05,East,Electronics,5,363.67,,1818.3500000000001,Male,36
93,2025-04-27,South,Office Supplies,6,93.82,0.0,562.92,Male,21
94,2025-10-11,West,Electronics,5,350.22,0.05,1663.545,Male,54
95,2025-05-26,South,Electronics,8,241.96,0.1,1742.112,Female,48
96,2025-02-28,North,Furniture,2,203.35,0.0,406.7,Male,69
97,2025-10-16,North,Clothing,5,47.16,0.05,224.00999999999996,Male,67
98,2025-09-25,East,Clothing,7,228.0,0.15,1356.6,Female,54
99,2025-11-14,South,Furniture,1,306.77,0.0,306.77,Female,60
100,2025-02-11,North,Furniture,3,123.73,,371.19,Male,44
101,2025-08-19,South,Office Supplies,10,237.61,0.0,2376.1000000000004,Female,62
102,2025-08-21,South,Clothing,2,345.26,0.1,621.468,Male,52
103,2025-04-26,North,Electronics,3,454.66,0.05,1295.781,Male,68
104,2025-06-07,East,Clothing,10,375.73,,3757.3,Male,47
105,2025-12-19,West,Clothing,5,351.37,0.1,1581.165,Male,56
106,2025-01-21,East,Electronics,7,368.59,,2580.1299999999997,Male,32
107,2025-12-12,East,Electronics,10,295.63,0.0,2956.3,Male,48
108,2025-09-23,West,Clothing,8,458.46,0.05,3484.296,Male,48
109,2025-06-28,South,Office Supplies,7,169.99,0.0,1189.93,Female,62
110,2025-09-11,,Clothing,5,332.98,0.15,1415.165,Male,38
111,2025-05-10,North,Clothing,6,62.38,0.15,318.13800000000003,Female,21
112,2025-04-07,West,Electronics,9,184.08,0.15,1408.212,Male,35
113,2025-10-09,West,Electronics,3,464.2,0.15,1183.7099999999998,Male,58
114,2025-11-08,North,Clothing,4,356.34,0.1,1282.8239999999998,Male,32
115,2025-02-28,West,Office Supplies,8,473.8,0.05,3600.88,Female,44
116,2025-09-05,South,Clothing,8,125.65,,1005.2,Male,56
117,2025-09-18,West,Office Supplies,3,432.69,0.1,1168.263,Female,70
118,2025-01-02,West,Furniture,5,364.4,,1822.0,Female,52
119,2025-09-05,West,Clothing,6,169.56,,1017.36,Female,30
120,2025-12-24,West,Electronics,4,288.04,0.05,1094.5520000000001,Female,65
121,2025-08-31,West,Electronics,7,196.11,0.05,1304.1315,Male,50
122,2025-10-30,North,Clothing,6,435.5,0.15,2221.0499999999997,Male,64
123,2025-03-15,North,Clothing,7,436.11,0.05,2900.1315,Female,39
124,2025-11-16,West,Office Supplies,7,326.67,0.1,2058.021,Female,52
125,2025-01-19,South,Electronics,10,38.87,0.1,349.83,Female,24
126,2025-11-21,North,Electronics,2,224.62,0.1,404.31600000000003,Female,68
127,2025-01-29,South,Furniture,5,182.44,0.15,775.37,Female,54
128,2025-12-16,West,Furniture,3,89.14,0.0,267.42,Female,55
129,2025-03-15,West,Office Supplies,4,233.27,0.1,839.772,Male,69
130,2025-08-27,North,Clothing,5,340.42,0.05,1616.9950000000001,Female,55
131,2025-06-03,East,Furniture,7,346.71,0.15,2062.9244999999996,Female,48
132,2025-02-24,East,Office Supplies,4,193.78,0.1,697.6080000000001,Male,60
133,2025-07-22,West,Office Supplies,5,9.01,0.0,45.05,Male,56
134,2025-06-30,East,Furniture,4,320.13,,1280.52,Male,58
135,2025-11-27,North,Office Supplies,1,157.92,0.15,134.232,Male,23
136,2025-06-01,South,Furniture,6,375.0,0.05,2137.5,Female,51
137,2025-09-14,West,Office Supplies,5,416.08,0.1,1872.3600000000001,Female,69
138,2025-02-28,South,Clothing,8,481.63,0.05,3660.388,Female,23
139,2025-07-22,West,Office Supplies,1,135.91,0.0,135.91,Female,55
140,2025-07-15,West,Electronics,6,58.63,0.05,334.19100000000003,Female,57
141,2025-04-24,East,Clothing,2,319.52,0.15,543.184,Male,26
142,2025-01-24,North,Electronics,1,155.66,0.15,132.311,Male,52
143,2025-03-11,West,Furniture,7,229.55,,1606.8500000000001,Female,59
144,2025-02-20,North,Office Supplies,8,309.75,0.1,2230.2000000000003,Male,46
145,2025-08-16,East,Office Supplies,4,428.45,0.0,1713.8,Male,43
146,2025-05-22,North,Furniture,4,484.26,0.15,1646.484,Male,21
147,2025-06-20,South,Electronics,4,494.47,,1977.88,Male,55
148,2025-04-21,North,Office Supplies,4,167.64,0.05,637.0319999999999,Male,26
149,2025-10-04,North,Furniture,5,400.26,0.0,2001.3,Male,40
150,2025-05-02,East,Electronics,10,165.27,0.05,1570.065,Male,65
151,2025-08-04,West,Clothing,9,61.26,0.0,551.34,Female,50
152,2025-10-31,North,Office Supplies,2,228.74,0.05,434.606,Female,59
153,2025-01-16,West,Electronics,1,499.3,0.15,424.405,Female,63
154,2025-08-16,South,Electronics,2,450.14,0.1,810.252,Male,35
155,2025-11-16,West,Office Supplies,10,276.44,0.1,2487.96,Female,50
156,2025-11-06,South,Clothing,7,54.09,0.0,378.63,Female,32
157,2025-07-31,West,Electronics,6,414.57,0.15,2114.307,Female,45
158,2025-06-10,West,Electronics,5,190.28,0.05,903.8299999999999,Male,23
159,2025-02-17,South,Electronics,7,52.8,0.1,332.64,Female,60
160,2025-03-04,North,Office Supplies,7,180.03,0.15,1071.1785,Female,40
161,2025-02-23,West,Furniture,10,256.17,0.05,2433.6150000000002,Male,40
162,2025-10-12,South,Clothing,6,61.87,0.1,334.09799999999996,Male,56
163,2025-12-03,East,Office Supplies,5,19.33,0.1,86.985,Female,18
164,2025-04-03,North,Furniture,3,285.33,0.15,727.5915,Male,23
165,2025-09-29,East,Furniture,4,191.22,0.15,650.148,Female,37
166,2025-06-16,South,Furniture,10,300.13,0.0,3001.3,Male,61
167,2025-02-11,West,Clothing,5,224.34,0.15,953.445,Female,35
168,2025-04-21,North,Office Supplies,9,61.34,0.15,469.25100000000003,Female,51
169,2025-12-08,North,Electronics,5,27.48,0.15,116.79,Male,37
170,2025-04-19,East,Electronics,3,383.26,0.1,1034.802,Male,49
171,2025-08-09,South,Office Supplies,3,68.95,,206.85000000000002,Male,43
172,2025-01-22,East,Clothing,7,14.28,0.0,99.96,Female,63
173,2025-11-24,North,Office Supplies,7,148.31,0.15,882.4445000000001,Male,69
174,2025-11-13,North,Clothing,8,416.85,0.1,3001.32,Male,33
175,2025-08-12,West,Office Supplies,10,203.22,0.0,2032.2,Female,32
176,2025-06-20,South,Office Supplies,3,42.81,0.0,128.43,Female,64
177,2025-11-27,East,Furniture,3,121.95,0.05,347.5575,Male,56
178,2025-03-20,West,Clothing,2,92.69,0.15,157.57299999999998,Female,58
179,2025-06-11,West,Office Supplies,3,222.68,0.15,567.834,Female,55
180,2025-01-29,West,Clothing,6,256.13,0.1,1383.102,Male,21
181,2025-07-08,West,Clothing,5,42.98,0.0,214.89999999999998,Male,46
182,2025-10-20,South,Electronics,4,164.16,0.15,558.144,Female,24
183,2025-06-25,North,Furniture,2,254.75,0.05,484.025,Female,46
184,2025-09-26,East,Office Supplies,9,306.85,0.1,2485.485,Female,44
185,2025-06-23,North,Office Supplies,10,30.92,0.1,278.28000000000003,Male,53
186,2025-12-14,South,Office Supplies,7,145.65,,1019.5500000000001,Male,55
187,2025-12-06,West,Furniture,3,458.79,0.1,1238.7330000000002,Male,37
188,2025-10-14,South,Electronics,7,323.53,0.1,2038.239,Female,50
189,2025-07-05,South,Office Supplies,1,184.49,0.05,175.2655,Female,30
190,2025-04-26,North,Electronics,3,81.7,0.1,220.59000000000003,Female,67
191,2025-11-13,South,Furniture,3,300.64,0.05,856.824,Male,64
192,2025-08-13,West,Office Supplies,1,208.38,0.05,197.96099999999998,Female,32
193,2025-10-01,South,Office Supplies,4,158.19,0.15,537.846,Female,47
194,2025-05-25,South,Furniture,7,253.94,0.15,1510.943,Male,34
195,2025-01-27,North,Electronics,8,437.69,,3501.52,Female,23
196,2025-03-24,South,Clothing,5,227.41,,1137.05,Male,32
197,2025-08-19,North,Clothing,6,465.58,0.15,2374.458,Female,33
198,2025-07-17,East,Electronics,2,190.58,0.0,381.16,Female,68
199,2025-03-16,South,Clothing,3,23.96,0.15,61.09799999999999,Female,57
200,2025-01-03,South,Clothing,2,14.41,0.05,27.378999999999998,Male,67
201,2025-05-28,South,Clothing,4,154.07,0.0,616.28,Female,22
202,2025-02-26,South,Furniture,8,300.39,0.0,2403.12,Female,45
203,2025-01-01,West,Furniture,10,179.64,,1796.3999999999999,Male,51
204,2025-07-04,North,Clothing,2,476.93,,953.86,Female,20
205,2025-11-22,North,Office Supplies,7,490.61,0.1,3090.843,Male,40
206,2025-05-04,South,Electronics,2,386.89,0.1,696.402,Female,52
207,2025-06-23,West,Furniture,3,416.04,0.15,1060.902,Male,22
208,2025-08-23,South,Electronics,1,150.25,0.0,150.25,Female,37
209,2025-09-21,West,Office Supplies,7,494.62,,3462.34,Male,66
210,2025-11-28,East,Office Supplies,4,146.62,0.0,586.48,Male,69
211,2025-07-08,West,Office Supplies,7,445.3,0.15,2649.535,Male,49
212,2025-12-21,East,Electronics,8,186.84,,1494.72,Female,23
213,2025-08-09,East,Office Supplies,10,497.57,0.05,4726.915,Male,23
214,2025-06-17,West,Furniture,5,156.72,,783.6,Female,40
215,2025-08-17,West,Office Supplies,1,364.77,0.1,328.293,Male,22
216,2025-12-10,North,Furniture,7,184.84,0.05,1229.1860000000001,Female,20
217,2025-03-06,East,Clothing,2,121.82,0.1,219.27599999999998,Male,56
218,2025-03-20,West,Electronics,8,474.67,0.1,3417.6240000000003,Male,51
219,2025-07-07,South,Electronics,7,160.62,0.1,1011.9060000000002,Male,65
220,2025-04-06,North,Office Supplies,8,261.28,,2090.24,Female,63
221,2025-08-17,West,Furniture,4,498.2,0.1,1793.52,Male,26
222,2025-02-07,North,Office Supplies,8,90.46,0.15,615.1279999999999,Female,63
223,2025-02-03,South,electrnics,9,273.37,0.1,2214.297,Female,50
224,2025-04-25,South,Clothing,2,492.64,0.05,936.016,Male,41
225,2025-10-11,South,Electronics,10,187.61,,1876.1000000000001,Male,37
226,2025-07-23,North,Furniture,8,265.22,0.15,1803.496,Female,59
227,2025-02-07,East,Furniture,8,235.59,,1884.72,Male,67
228,2025-03-08,North,Furniture,7,253.92,0.0,1777.4399999999998,Female,28
229,2025-03-24,East,Office Supplies,6,467.7,0.05,2665.89,Male,34
230,2025-04-11,North,Furniture,9,140.85,0.1,1140.885,Male,28
231,2025-12-04,East,Electronics,10,361.71,,3617.1,Male,23
232,2025-01-24,West,Electronics,10,136.0,0.05,1292.0,Female,58
233,2025-10-07,West,Furniture,5,322.74,0.1,1452.3300000000002,Female,37
234,2025-08-21,West,Clothing,2,345.86,0.05,657.134,Female,47
235,2025-04-15,East,Office Supplies,6,305.3,0.1,1648.6200000000001,Female,26
236,2025-07-09,South,Clothing,9,283.02,0.1,2292.462,Male,35
237,2025-08-19,East,Clothing,4,74.73,0.0,298.92,Female,33
238,2025-03-23,South,Furniture,6,467.21,0.1,2522.9339999999997,Female,50
239,2025-08-28,North,Electronics,8,440.14,0.15,2992.9519999999998,Female,50
240,2025-08-23,North,Electronics,4,111.5,0.1,401.40000000000003,Female,49
241,2025-11-02,North,Clothing,8,146.45,0.0,1171.6,Male,34
242,2025-07-07,North,Furniture,7,186.14,0.15,1107.533,Female,53
243,2025-05-28,East,Electronics,2,196.24,0.15,333.608,Male,24
244,2025-07-21,East,Furniture,6,398.47,0.1,2151.7380000000003,Male,56
245,2025-09-18,North,Furniture,7,252.54,0.0,1767.78,Female,69
246,2025-08-31,South,Office Supplies,9,231.21,,2080.89,Female,28
247,2025-07-21,East,Clothing,10,370.96,0.1,3338.64,Female,48
248,2025-01-09,West,Office Supplies,6,168.96,0.0,1013.76,Male,56
249,2025-08-31,South,Electronics,5,483.7,,2418.5,Female,28
250,2025-09-26,South,Furniture,10,388.43,0.15,3301.655,Male,54
251,2025-12-25,East,Clothing,2,99.44,0.15,169.048,Male,44
252,2025-12-20,West,Electronics,4,208.14,,832.56,Male,51
253,2025-04-17,West,Office Supplies,9,165.9,0.15,1269.135,Male,47
254,2025-09-30,West,Furniture,6,275.41,0.1,1487.2140000000002,Male,35
255,2025-10-13,East,Furniture,5,116.31,0.1,523.395,Female,38
256,2025-09-03,East,Electronics,6,282.44,0.1,1525.176,Female,43
257,2025-06-26,North,Office Supplies,3,148.77,0.1,401.6790000000001,Female,59
258,2025-05-12,East,Office Supplies,8,110.92,,887.36,Male,24
259,2025-11-12,South,Furniture,10,123.44,0.0,1234.4,Male,24
260,2025-07-31,South,Electronics,6,360.09,0.0,2160.54,Male,44
261,2025-12-01,,Office Supplies,8,241.34,0.05,1834.184,Female,59
262,2025-01-31,North,Furniture,2,327.89,0.05,622.991,Female,29
263,2025-01-19,East,Electronics,7,395.04,0.05,2627.016,Male,37
264,2025-10-18,East,Clothing,10,58.11,0.1,522.99,Female,26
265,2025-09-16,East,Furniture,8,140.05,0.0,1120.4,Female,59
266,2025-05-12,East,Furniture,3,11.97,0.1,32.319,Male,57
267,2025-11-24,East,Electronics,7,414.36,,2900.52,Female,60
268,2025-02-18,East,Furniture,3,490.93,0.15,1251.8715,Male,34
269,2025-07-16,East,Office Supplies,4,226.13,0.1,814.068,Male,34
270,2025-12-01,North,Clothing,6,347.92,0.0,2087.52,Female,28
271,2025-07-27,North,Office Supplies,9,461.94,0.1,3741.714,Female,57
272,2025-04-24,South,Clothing,4,478.89,0.15,1628.2259999999999,Female,44
273,2025-12-26,South,Furniture,9,456.83,,4111.47,Male,51
274,2025-08-17,North,Electronics,9,353.36,0.0,3180.2400000000002,Male,54
275,2025-10-02,West,Electronics,3,86.45,,259.35,Male,63
276,2025-10-26,West,Electronics,8,50.02,,400.16,Female,26
277,2025-09-20,West,Office Supplies,7,231.12,0.0,1617.8400000000001,Male,43
278,2025-05-11,North,Electronics,1,374.17,,374.17,Female,40
279,2025-12-25,North,Clothing,2,272.88,0.0,545.76,Male,36
280,2025-07-29,East,Clothing,3,385.64,0.15,983.3820000000001,Female,42
281,2025-07-12,South,Office Supplies,2,342.95,,685.9,Male,29
282,2025-10-03,North,Electronics,7,266.78,0.05,1774.0869999999998,Female,47
283,2025-12-11,South,Furniture,9,214.94,0.15,1644.291,Female,40
284,2025-03-21,North,Clothing,5,98.3,0.0,491.5,Male,33
285,2025-04-16,West,Electronics,2,54.94,0.0,109.88,Male,65
286,2025-01-23,South,Electronics,7,222.29,,1556.03,Male,50
287,2025-05-29,East,Office Supplies,4,408.81,,1635.24,Male,37
288,2025-03-15,East,Electronics,9,114.42,0.1,926.802,Male,58
289,2025-12-14,East,Clothing,7,280.15,0.0,1961.0499999999997,Female,62
290,2025-08-02,South,Clothing,7,78.86,0.15,469.217,Male,32
291,2025-06-03,West,Clothing,3,403.86,0.0,1211.58,Male,42
292,2025-05-05,West,Office Supplies,5,105.65,0.0,528.25,Male,52
293,2025-04-08,North,Electronics,1,137.89,,137.89,Male,69
294,2025-10-28,East,Office Supplies,9,112.42,0.05,961.1909999999999,Male,31
295,2025-04-08,South,Furniture,2,374.71,0.15,637.007,Female,33
296,2025-10-10,West,Office Supplies,6,388.88,0.15,1983.2879999999998,Female,34
297,2025-07-04,North,Clothing,9,441.99,0.15,3381.2234999999996,Female,31
298,2025-07-09,South,Furniture,6,209.9,,1259.4,Male,34
299,2025-10-11,East,Furniture,10,291.68,0.15,2479.28,Male,39
300,2025-04-28,West,Office Supplies,7,287.05,0.05,1908.8825,Female,66
301,2025-09-08,South,Furniture,8,233.11,0.1,1678.392,Female,29
302,2025-10-05,North,Electronics,1,264.35,0.0,264.35,Female,26
303,2025-11-19,North,Furniture,4,38.64,0.05,146.832,Female,41
304,2025-01-31,West,Clothing,10,320.68,,3206.8,Male,18
305,2025-09-30,East,Office Supplies,9,208.61,0.0,1877.4900000000002,Male,50
306,2025-12-24,North,Electronics,7,404.05,0.05,2686.9325,Male,33
307,2025-04-09,East,Clothing,10,265.6,0.1,2390.4,Male,41
308,2025-07-27,East,Electronics,8,284.68,0.05,2163.5679999999998,Male,23
309,2025-07-27,North,electrnics,7,191.7,0.15,1140.6149999999998,Male,23
310,2025-09-13,North,Electronics,7,324.23,0.1,2042.6490000000001,Male,31
311,2025-12-21,North,Office Supplies,10,240.37,0.0,2403.7,Male,29
312,2025-06-11,South,Clothing,1,480.93,,480.93,Male,37
313,2025-03-25,East,Clothing,10,124.03,0.15,1054.2549999999999,Male,68
314,2025-12-19,North,Electronics,2,252.89,0.1,455.202,Female,32
315,2025-02-08,West,Office Supplies,6,304.56,,1827.3600000000001,Male,58
316,2025-05-20,West,Clothing,8,247.85,0.1,1784.52,Male,61
317,2025-10-27,East,Furniture,7,47.42,,331.94,Male,23
318,2025-05-18,West,Office Supplies,3,193.1,0.05,550.3349999999999,Female,24
319,2025-02-16,East,Office Supplies,1,471.77,0.15,401.00449999999995,Male,26
320,2025-02-14,West,Electronics,3,218.33,,654.99,Male,23
321,2025-07-01,East,Clothing,9,51.07,,459.63,Male,36
322,2025-07-31,South,Furniture,7,390.69,,2734.83,Female,28
323,2025-03-13,South,Electronics,5,154.06,0.15,654.755,Male,45
324,2025-05-22,East,Office Supplies,7,153.38,0.0,1073.6599999999999,Male,64
325,2025-11-17,West,Electronics,8,298.93,0.05,2271.868,Male,37
326,2025-01-04,West,Office Supplies,7,169.45,,1186.1499999999999,Female,39
327,2025-08-09,South,Clothing,10,72.38,0.1,651.42,Female,29
328,2025-07-23,South,Office Supplies,6,149.27,0.15,761.277,Female,35
329,2025-07-21,South,Furniture,6,61.37,,368.21999999999997,Male,64
330,2025-08-25,North,Clothing,4,222.04,0.1,799.3439999999999,Female,26
331,2025-11-21,West,Clothing,5,124.8,0.05,592.8,Male,46
332,2025-11-03,West,Electronics,8,293.21,,2345.68,Female,62
333,2025-10-02,North,Furniture,10,320.9,0.0,3209.0,Female,28
334,2025-11-28,East,Clothing,10,26.93,0.15,228.905,Male,18
335,2025-02-20,South,Clothing,5,114.89,,574.45,Female,43
336,2025-08-26,East,Electronics,10,346.77,0.05,3294.3149999999996,Female,24
337,2025-06-01,North,Furniture,7,460.67,0.0,3224.69,Female,37
338,2025-06-25,West,Office Supplies,8,393.21,,3145.68,Female,24
339,2025-08-13,North,Electronics,8,162.86,0.1,1172.592,Male,39
340,2025-11-28,South,Furniture,2,340.18,0.05,646.342,Male,39
341,2025-10-14,West,Furniture,7,479.44,0.05,3188.276,Male,58
342,2025-12-03,South,Clothing,7,200.81,,1405.67,Female,42
343,2025-01-03,North,Furniture,4,106.86,0.0,427.44,Female,38
344,2025-04-11,East,Clothing,8,61.41,0.15,417.58799999999997,Female,55
345,2025-02-28,South,Office Supplies,6,179.23,0.15,914.0729999999999,Male,61
346,2025-03-10,North,Furniture,6,63.34,0.1,342.036,Female,62
347,2025-03-14,South,Clothing,9,197.29,,1775.61,Female,29
348,2025-09-07,South,Clothing,9,348.25,0.05,2977.5375,Female,26
349,2025-04-06,North,Office Supplies,6,421.78,,2530.68,Male,49
350,2025-03-11,West,Clothing,4,408.53,,1634.12,Female,44
351,2025-12-30,North,Furniture,8,246.91,0.0,1975.28,Female,20
352,2025-05-21,West,Clothing,4,271.12,0.05,1030.2559999999999,Male,54
353,2025-02-28,North,Clothing,5,388.68,0.1,1749.0600000000002,Male,45
354,2025-02-22,West,Office Supplies,4,152.37,0.0,609.48,Female,70
355,2025-02-14,South,Furniture,8,433.32,0.0,3466.56,Female,63
356,2025-11-09,South,Furniture,7,87.16,0.05,579.614,Male,54
357,2025-06-29,South,Office Supplies,9,144.14,,1297.2599999999998,Female,36
358,2025-10-21,North,Furniture,5,476.44,,2382.2,Female,21
359,2025-05-22,South,Furniture,3,352.21,0.05,1003.7984999999999,Female,33
360,2025-12-13,East,Clothing,7,247.28,,1730.96,Female,46
361,2025-02-08,East,Clothing,2,204.41,0.1,367.938,Female,38
362,2025-10-25,West,Office Supplies,1,435.11,0.0,435.11,Male,68
363,2025-10-01,South,Clothing,7,112.83,0.15,671.3385,Female,38
364,2025-05-26,West,Office Supplies,6,275.92,0.05,1572.744,Male,20
365,2025-02-20,West,Clothing,8,13.06,0.05,99.256,Male,45
366,2025-04-14,South,Office Supplies,3,441.66,0.1,1192.482,Male,59
367,2025-07-04,North,Clothing,5,45.8,0.05,217.54999999999998,Female,64
368,2025-12-25,North,Electronics,4,217.47,0.0,869.88,Male,48
369,2025-02-09,West,Electronics,3,298.87,,896.61,Male,62
370,2025-06-25,South,Clothing,2,494.14,0.15,840.038,Male,32
371,2025-07-16,North,Office Supplies,2,366.73,0.0,733.46,Female,37
372,2025-03-12,South,Electronics,7,387.86,0.05,2579.269,Male,57
373,2025-11-29,South,Clothing,3,222.85,0.05,635.1225,Female,31
374,2025-02-14,West,Office Supplies,2,74.31,0.0,148.62,Female,38
375,2025-03-13,South,Office Supplies,4,142.1,0.0,568.4,Male,60
376,2025-06-04,South,Clothing,4,261.29,,1045.16,Female,59
377,2025-01-28,South,Clothing,4,249.97,0.0,999.88,Male,51
378,2025-01-07,West,Clothing,6,467.29,0.05,2663.553,Female,52
379,2025-12-16,North,Electronics,3,382.55,0.0,1147.65,Male,34
380,2025-04-21,East,Clothing,1,461.68,0.15,392.428,Female,62
381,2025-07-25,South,Office Supplies,2,322.07,,644.14,Male,37
