FarmerID,FarmID,Region,County,Crop,Variety,FarmSize,SoilType,Rainfall,Temperature,FertilizerUsed,PesticideUsed,IrrigationMethod,LaborHours,PlantingDate,HarvestDate,Production,MarketPrice,Revenue,FarmerAge,FarmerGender,FarmingExperience,TrainingReceived,YieldCategory
14,F1014,Central,Nyeri,Maize,Improved,17.31,Sandy,846.0,33.7,754.4,10.2,Sprinkler,276.8,2024-02-04,2024-07-09,8781.4,76.97,675904.36,45,Male,20,No,Medium
15,F1015,Rift Valley,Meru,Rice,Hybrid A,9.44,Clay,1797.5,22.4,797.0,7.9,Sprinkler,631.1,2024-02-07,2024-04-18,4833.5,27.33,132099.55,71,Male,36,No,High
16,F1016,Eastern,Kilifi,Rice,Hybrid B,5.66,Sandy,1623.5,25.1,599.1,12.6,Rain-fed,137.7,2024-02-23,2024-05-20,3779.1,35.54,134309.21,47,Female,3,Yes,Medium
17,F1017,Central,Nakuru,Sorghum,Hybrid B,19.61,Loam,458.5,31.7,364.6,29.1,Drip,458.3,2024-03-07,2024-08-05,8384.5,90.57,759384.16,22,Female,24,Yes,Medium
18,F1018,Nyanza,Kilifi,Beans,Hybrid B,5.37,Clay,364.5,34.5,628.5,40.5,Flood,73.5,2024-04-17,2024-09-21,3113.0,108.41,337480.33,67,Female,27,Yes,Medium
19,F1019,Western,Kisumu,Rice,Hybrid B,14.17,Clay,812.1,15.5,50.2,9.7,Sprinkler,314.7,2024-03-22,2024-09-08,3354.2,67.07,224966.19,24,Female,23,No,High
20,F1020,Rift Valley,Nakuru,Maize,Improved,18.82,Sandy,384.5,29.6,776.9,15.7,Rain-fed,415.9,2024-10-01,2025-01-21,12786.7,37.86,484104.46,56,Male,17,Yes,High
21,F1021,Eastern,Kisumu,Wheat,Hybrid A,10.64,Sandy,1490.4,27.5,555.7,33.2,Rain-fed,733.8,2024-08-11,2024-10-20,7232.8,114.03,824756.18,39,Female,27,No,Medium
22,F1022,Eastern,Nyeri,Potatoes,Local,11.31,Silt,506.9,26.0,538.6,0.0,Sprinkler,249.7,2024-12-22,2025-04-08,6787.4,57.91,393058.33,70,Female,30,No,Medium
23,F1023,Rift Valley,Nyeri,Sorghum,Local,10.47,Loam,1470.0,31.4,768.7,37.6,Sprinkler,263.4,2024-12-11,2025-03-18,7138.0,93.6,668116.8,32,Male,2,Yes,Low
24,F1024,Coast,Machakos,Wheat,Improved,17.07,Clay,316.5,18.0,343.3,34.4,Rain-fed,789.5,2024-08-31,2025-01-26,4031.3,82.98,334517.27,34,Male,34,No,Low
25,F1025,Nyanza,Nyeri,Rice,Improved,18.39,Silt,394.2,31.6,124.0,27.4,Drip,756.5,2024-10-12,2025-01-21,7113.7,66.46,472776.5,50,Female,17,Yes,High
26,F1026,Eastern,Kisumu,Rice,Local,15.66,Loam,975.4,17.8,206.6,11.6,Drip,721.1,2024-05-21,2024-11-05,8256.9,63.99,528359.03,24,Female,27,No,High
27,F1027,Central,Nyeri,Wheat,Improved,1.71,Loam,1532.6,33.9,323.8,14.9,Flood,860.8,2024-08-26,2024-12-27,2851.7,96.98,276557.87,73,Female,35,Yes,Medium
28,F1028,Eastern,Machakos,Beans,Hybrid A,9.0,Silt,246.4,26.8,282.2,33.1,Rain-fed,660.6,2024-04-22,2024-08-04,3373.7,87.91,296581.97,28,Female,12,Yes,Medium
29,F1029,Western,Kisumu,Maize,Improved,4.63,Loam,723.0,30.0,613.8,2.6,Sprinkler,263.0,2024-07-13,2024-11-01,3986.9,57.91,230881.38,24,Male,2,Yes,Low
30,F1030,Coast,Kisumu,Rice,Hybrid B,3.47,Loam,402.0,30.6,542.2,8.2,Sprinkler,152.7,2024-01-11,2024-06-08,2076.9,76.4,158675.16,21,Female,37,No,Medium
31,F1031,Coast,Nyeri,Maize,Hybrid A,12.05,Sandy,1528.9,25.7,209.4,33.1,Rain-fed,530.7,2024-04-11,2024-06-29,4495.6,89.72,403345.23,41,Male,27,No,Low
32,F1032,Coast,Kisumu,Potatoes,Improved,12.89,Silt,1525.9,23.7,571.7,36.6,Sprinkler,356.2,2024-08-09,2024-12-03,8313.8,63.55,528341.99,35,Male,18,No,Low
33,F1033,Eastern,Kisumu,Rice,Local,12.4,Sandy,806.4,32.6,42.4,35.1,Sprinkler,578.0,2024-08-25,2025-01-14,2894.4,105.1,304201.44,53,Male,6,Yes,High
34,F1034,Central,Nakuru,Rice,Hybrid B,11.33,Silt,584.5,28.8,391.4,15.3,Sprinkler,499.6,2024-07-27,2024-12-06,4797.3,91.18,437417.81,53,Female,28,No,Medium
35,F1035,Nyanza,Kilifi,Beans,Hybrid B,5.78,Clay,602.2,29.8,114.1,13.8,Sprinkler,981.5,2024-12-25,2025-05-02,1531.7,39.26,60134.54,73,Male,19,Yes,Medium
36,F1036,Coast,Meru,Sorghum,Improved,0.78,Loam,1054.6,32.5,234.0,28.7,Flood,504.8,2024-04-01,2024-07-18,1598.5,117.43,187711.86,41,Male,4,No,Medium
37,F1037,Nyanza,Kisumu,Maize,Hybrid B,1.77,Loam,986.8,26.2,470.1,20.8,Drip,786.9,2024-02-28,2024-08-21,2010.9,88.65,178266.29,44,Female,29,No,High
38,F1038,Coast,Meru,Rice,Hybrid A,11.59,Clay,296.4,19.8,768.9,27.6,Drip,52.5,2024-08-07,2024-11-24,7299.0,29.92,218386.08,48,Female,19,Yes,Low
39,F1039,Coast,Nyeri,Sorghum,Hybrid B,6.01,Silt,1575.4,17.3,75.5,11.2,Drip,913.0,2024-05-27,2024-11-03,2718.9,43.34,117837.13,72,Male,5,Yes,Low
40,F1040,Coast,Machakos,Rice,Improved,15.1,Silt,1110.7,16.6,245.1,2.0,Flood,747.8,2024-06-06,2024-10-30,7994.3,32.44,259335.09,58,Female,2,Yes,Low
41,F1041,Nyanza,Nakuru,Beans,Improved,17.28,Silt,1139.4,33.3,36.2,9.1,Flood,653.0,2024-12-11,2025-06-06,9747.3,96.48,940419.5,51,Male,31,No,Medium
42,F1042,Western,Nyeri,Maize,Improved,13.57,Loam,1572.4,21.3,277.2,16.2,Flood,871.7,2024-06-19,2024-10-08,4931.7,89.37,440746.03,72,Male,35,No,Medium
43,F1043,Rift Valley,Nyeri,Beans,Local,10.61,Silt,1196.2,32.6,408.8,24.2,Rain-fed,974.5,2024-01-28,2024-05-01,2908.1,64.2,186700.02,58,Male,11,No,High
44,F1044,Coast,Meru,Wheat,Local,8.46,Sandy,559.5,23.3,676.3,24.1,Flood,281.5,2024-01-08,2024-05-27,6643.3,31.35,208267.46,55,Male,25,Yes,High
45,F1045,Nyanza,Kisumu,Maize,Local,17.65,Sandy,1582.4,31.7,235.5,29.0,Flood,872.0,2024-09-17,2025-03-01,6957.3,99.0,688772.7,48,Female,23,No,High
46,F1046,Eastern,Machakos,Maize,Local,9.38,Silt,714.8,29.1,167.1,40.6,Flood,989.0,2024-10-05,2025-01-31,4445.4,89.75,398974.65,70,Male,32,Yes,Low
47,F1047,Central,Kilifi,Beans,Improved,6.97,Clay,360.6,16.5,679.1,39.1,Sprinkler,371.6,2024-09-14,2025-02-06,5504.1,29.97,164957.88,64,Female,6,No,High
48,F1048,Nyanza,Nakuru,Beans,Local,19.11,Clay,1202.9,29.9,712.2,21.7,Rain-fed,772.4,2024-09-30,2025-01-26,9291.7,68.79,639176.04,65,Male,29,Yes,High
49,F1049,Nyanza,Machakos,Potatoes,Hybrid B,1.4,Clay,1473.8,18.5,248.8,30.5,Flood,638.7,2024-06-02,2024-08-14,1894.6,57.48,108901.61,35,Female,38,Yes,Low
50,F1050,Coast,Nyeri,Beans,Hybrid A,5.45,Silt,608.5,33.9,27.3,49.4,Sprinkler,657.0,2024-08-24,2025-01-22,3531.4,100.46,354764.44,47,Female,30,No,Low
51,F1051,Rift Valley,Nakuru,Sorghum,Improved,9.92,Sandy,579.5,15.2,466.1,43.3,Rain-fed,915.1,2024-07-15,2025-01-10,7310.1,77.48,566386.55,67,Female,19,Yes,High
52,F1052,Eastern,Kilifi,Maize,Hybrid A,12.91,Sandy,1193.4,30.8,548.7,1.7,Sprinkler,745.7,2024-06-29,2024-10-05,7510.1,92.09,691605.11,25,Female,21,No,Low
53,F1053,Eastern,Kisumu,Wheat,Local,15.84,Sandy,1602.3,31.1,305.4,23.4,Rain-fed,183.7,2024-04-12,2024-07-07,5404.6,70.18,379294.83,34,Female,36,No,Low
54,F1054,Western,Kilifi,Rice,Hybrid A,5.66,Clay,397.7,24.4,307.5,31.0,Sprinkler,919.5,2024-07-21,2024-09-30,2157.6,94.9,204756.24,34,Male,30,No,High
55,F1055,Nyanza,Meru,Wheat,Improved,3.23,Sandy,1714.0,28.4,257.4,37.2,Flood,608.0,2024-07-28,2024-10-20,2307.6,69.26,159824.38,66,Male,27,Yes,Medium
56,F1056,Eastern,Kisumu,Maize,Local,18.81,Sandy,647.6,16.2,558.4,13.8,Rain-fed,951.6,2024-11-11,2025-03-13,7489.3,41.73,312528.49,72,Female,6,Yes,High
57,F1057,Eastern,Nakuru,Potatoes,Hybrid B,19.44,Clay,280.9,31.3,280.1,11.6,Drip,799.2,2024-11-23,2025-04-18,10295.5,118.88,1223929.04,58,Male,18,Yes,Low
58,F1058,Eastern,Nyeri,Rice,Hybrid A,16.07,Clay,375.9,20.3,695.8,6.3,Flood,549.8,2024-10-03,2025-01-13,5971.5,33.18,198134.37,67,Male,31,No,Medium
59,F1059,Coast,Nyeri,Rice,Improved,2.63,Loam,1006.1,16.2,757.4,23.9,Flood,455.0,2024-09-19,2025-02-11,3601.2,24.34,87653.21,26,Female,29,Yes,Low
60,F1060,Western,Nyeri,Potatoes,Local,3.39,Silt,401.9,25.1,507.0,21.5,Rain-fed,860.2,2024-06-13,2024-11-07,2862.1,78.54,224789.33,61,Male,28,No,Low
61,F1061,Rift Valley,Kisumu,Beans,Improved,16.63,Loam,838.0,16.8,589.1,4.3,Flood,141.7,2024-07-30,2024-11-20,5881.6,51.25,301432.0,67,Female,9,Yes,High
62,F1062,Coast,Nakuru,Rice,Local,6.93,Sandy,395.6,17.1,295.8,25.4,Drip,673.9,2024-10-14,2025-03-04,4166.2,86.53,360501.29,34,Male,23,No,Low
63,F1063,Coast,Kilifi,Potatoes,Hybrid A,4.91,Sandy,886.6,15.6,457.6,13.7,Sprinkler,925.5,2024-05-22,2024-10-12,3604.7,96.74,348718.68,42,Male,12,Yes,High
64,F1064,Western,Machakos,Wheat,Local,1.86,Clay,1385.6,22.4,778.0,36.1,Rain-fed,889.2,2024-12-02,2025-04-02,3326.4,29.18,97064.35,29,Male,40,Yes,High
65,F1065,Nyanza,Nakuru,Rice,Improved,9.14,Loam,878.4,20.7,493.5,33.9,Flood,550.6,2024-02-11,2024-05-25,3445.5,61.42,211622.61,39,Male,15,No,High
66,F1066,Central,Nakuru,Wheat,Improved,4.49,Clay,1712.5,17.6,618.5,26.6,Drip,525.2,2024-01-29,2024-04-08,3642.0,96.42,351161.64,73,Female,5,No,High
67,F1067,Coast,Kilifi,Wheat,Local,0.87,Loam,1673.9,23.1,692.4,48.3,Drip,811.3,2024-01-22,2024-05-26,3052.9,77.58,236843.98,59,Female,24,Yes,Medium
68,F1068,Eastern,Kisumu,Beans,Hybrid A,9.0,Loam,840.7,25.6,81.3,9.7,Sprinkler,383.5,2024-02-24,2024-06-04,5045.5,107.05,540120.78,72,Male,16,Yes,Low
69,F1069,Coast,Machakos,Wheat,Improved,3.88,Sandy,444.6,32.3,612.1,31.4,Drip,467.8,2024-05-11,2024-08-14,3809.6,27.54,104916.38,50,Female,20,No,High
70,F1070,Central,Kilifi,Maize,Improved,10.39,Silt,696.7,26.6,372.5,47.7,Rain-fed,477.2,2024-01-29,2024-05-23,6627.1,25.69,170250.2,71,Male,21,No,High
71,F1071,Coast,Meru,Maize,Hybrid B,9.29,Silt,1497.5,34.8,673.2,26.2,Drip,395.7,2024-03-18,2024-06-03,3695.0,118.24,436896.8,38,Female,27,No,High
72,F1072,Rift Valley,Kisumu,Sorghum,Hybrid B,15.89,Sandy,1235.7,16.6,71.4,33.2,Sprinkler,344.7,2024-11-02,2025-01-17,8007.9,29.45,235832.65,61,Female,9,Yes,Medium
73,F1073,Coast,Nyeri,Maize,Improved,13.05,Sandy,725.6,15.4,119.7,15.4,Drip,374.6,2024-10-13,2025-02-08,8291.0,90.28,748511.48,69,Female,13,Yes,Low
74,F1074,Nyanza,Nakuru,Sorghum,Local,6.27,Clay,1461.0,26.9,416.0,7.7,Drip,839.8,2024-03-20,2024-06-07,4910.7,73.98,363293.59,69,Male,29,Yes,Medium
75,F1075,Eastern,Nyeri,Beans,Local,14.53,Silt,1751.3,33.1,496.3,9.7,Flood,488.6,2024-07-05,2024-12-08,9478.1,95.24,902694.24,38,Female,33,No,Low
76,F1076,Central,Kilifi,Potatoes,Hybrid A,12.29,Sandy,1596.8,16.7,60.7,8.0,Flood,910.0,2024-04-12,2024-10-01,4754.4,68.06,323584.46,29,Female,6,Yes,Medium
77,F1077,Eastern,Nakuru,Rice,Hybrid A,8.59,Sandy,834.3,30.8,311.7,6.9,Sprinkler,921.5,2024-06-27,2024-09-08,2342.6,58.62,137323.21,50,Male,31,No,High
78,F1078,Western,Nakuru,Rice,Hybrid B,0.87,Sandy,545.0,17.4,136.6,11.9,Flood,109.7,2024-01-03,2024-03-23,1054.3,114.02,120211.29,73,Female,39,Yes,High
79,F1079,Western,Meru,Sorghum,Hybrid A,5.22,Sandy,429.7,16.4,354.8,26.3,Rain-fed,420.9,2024-09-20,2025-02-10,2123.9,81.48,173055.37,50,Male,25,No,Medium
80,F1080,Coast,Kisumu,Beans,Hybrid A,15.88,Sandy,751.7,25.9,591.7,40.7,Drip,838.9,2024-01-09,2024-05-03,9425.9,82.83,780747.3,63,Female,31,Yes,Low
81,F1081,Central,Kisumu,Rice,Improved,15.64,Silt,932.3,20.1,248.9,37.7,Drip,321.8,2024-02-02,2024-07-12,4117.1,24.38,100374.9,75,Male,22,No,Low
82,F1082,Western,Kilifi,Wheat,Local,17.84,Sandy,1389.3,31.0,717.8,36.4,Rain-fed,459.1,2024-07-07,2024-11-09,13007.3,58.66,763008.22,72,Male,35,No,Medium
83,F1083,Western,Kisumu,Wheat,Hybrid A,6.89,Sandy,673.0,27.3,367.8,21.7,Rain-fed,121.3,2024-02-22,2024-05-12,2422.3,91.77,222294.47,60,Female,24,Yes,Low
84,F1084,Rift Valley,Kisumu,Wheat,Hybrid A,12.35,Clay,1450.1,28.6,47.1,47.4,Sprinkler,471.7,2024-03-14,2024-09-08,7241.9,26.72,193503.57,24,Male,34,No,Medium
85,F1085,Nyanza,Nakuru,Rice,Local,5.93,Silt,1736.8,19.3,40.2,30.6,Flood,240.2,2024-06-09,2024-11-09,3540.8,38.6,136674.88,28,Male,29,Yes,High
86,F1086,Nyanza,Nyeri,Rice,Local,16.31,Clay,1748.1,29.2,789.5,46.4,Drip,804.0,2024-08-15,2024-11-04,10300.0,86.78,893834.0,52,Male,8,Yes,Low
87,F1087,Eastern,Nyeri,Maize,Hybrid A,10.13,Sandy,777.4,23.0,466.4,35.8,Flood,549.4,2024-05-01,2024-10-19,7543.2,66.74,503433.17,69,Female,37,Yes,Low
88,F1088,Nyanza,Kilifi,Potatoes,Hybrid B,1.95,Clay,945.3,23.7,423.5,45.5,Rain-fed,839.8,2024-06-11,2024-11-10,2599.9,32.83,85354.72,53,Male,20,Yes,Low
89,F1089,Eastern,Kilifi,Potatoes,Local,4.9,Clay,1716.0,27.5,424.7,30.7,Rain-fed,527.4,2024-06-14,2024-11-21,2815.1,48.4,136250.84,30,Male,11,No,High
90,F1090,Eastern,Nyeri,Wheat,Hybrid A,17.34,Silt,330.0,32.8,759.9,27.3,Sprinkler,508.8,2024-01-22,2024-07-15,5557.3,97.1,539613.83,71,Female,20,No,Low
91,F1091,Coast,Kisumu,Sorghum,Local,3.58,Silt,865.0,17.6,382.3,18.5,Rain-fed,353.2,2024-12-18,2025-03-05,2010.5,54.02,108607.21,49,Male,18,No,Low
92,F1092,Eastern,Kisumu,Potatoes,Local,1.49,Clay,1712.6,30.3,694.0,24.9,Flood,523.8,2024-03-13,2024-06-03,3623.2,61.81,223949.99,39,Female,2,Yes,Medium
93,F1093,Coast,Kilifi,Wheat,Local,19.35,Loam,544.2,31.9,295.3,21.5,Sprinkler,741.1,2024-09-15,2025-01-21,7553.6,25.05,189217.68,68,Female,24,Yes,Medium
94,F1094,Nyanza,Kisumu,Potatoes,Hybrid A,11.46,Clay,780.0,34.5,245.1,19.7,Sprinkler,579.9,2024-01-27,2024-06-17,4714.8,58.63,276428.72,43,Male,13,No,High
95,F1095,Nyanza,Meru,Rice,Local,1.26,Clay,1341.7,22.9,647.1,30.8,Sprinkler,614.0,2024-01-21,2024-04-05,2565.9,71.93,184565.19,52,Female,37,No,Medium
96,F1096,Coast,Kilifi,Maize,Improved,6.96,Sandy,375.4,34.3,344.9,39.1,Drip,735.3,2024-01-09,2024-05-05,4799.7,50.77,243680.77,57,Female,11,No,Low
97,F1097,Eastern,Machakos,Sorghum,Hybrid B,1.12,Silt,1717.1,25.0,105.7,30.6,Flood,879.2,2024-12-14,2025-03-25,1857.4,21.89,40658.49,67,Male,9,Yes,High
98,F1098,Nyanza,Kisumu,Sorghum,Local,9.83,Silt,802.9,18.8,766.2,12.3,Sprinkler,263.6,2024-06-15,2024-11-16,5686.3,65.97,375125.21,39,Female,14,No,Medium
99,F1099,Nyanza,Machakos,Wheat,Local,11.43,Clay,1695.2,20.8,582.9,14.4,Rain-fed,379.0,2024-09-02,2024-12-25,6844.9,48.78,333894.22,48,Female,31,Yes,Low
100,F1100,Eastern,Nakuru,Sorghum,Hybrid B,18.69,Clay,1313.9,16.0,127.1,20.7,Flood,145.5,2024-10-02,2025-01-14,8503.8,81.57,693654.97,69,Male,1,Yes,Medium
101,F1101,Central,Kilifi,Potatoes,Hybrid B,9.81,Loam,519.1,33.3,771.9,8.8,Drip,937.2,2024-11-30,2025-04-09,6038.7,52.12,314737.04,22,Female,32,Yes,High
102,F1102,Coast,Nyeri,Potatoes,Improved,0.68,Clay,1108.7,32.0,103.7,23.4,Drip,818.4,2024-05-28,2024-08-10,1249.4,118.3,147804.02,41,Male,30,No,High
103,F1103,Coast,Machakos,Wheat,Local,14.86,Loam,1465.2,23.0,462.9,4.8,Drip,503.6,2024-04-05,2024-06-15,4642.8,95.73,444455.24,35,Male,17,No,Low
104,F1104,Rift Valley,Kilifi,Beans,Hybrid A,5.71,Loam,727.4,24.3,474.3,8.0,Sprinkler,705.8,2024-08-16,2025-01-29,2763.9,77.29,213621.83,60,Female,24,Yes,Low
105,F1105,Western,Nyeri,Sorghum,Hybrid B,3.49,Clay,1396.4,28.6,492.5,29.8,Rain-fed,549.2,2024-03-09,2024-07-18,3378.1,61.58,208023.4,53,Female,5,Yes,Low
106,F1106,Coast,Meru,Sorghum,Improved,4.44,Loam,1058.7,33.0,148.3,22.3,Rain-fed,480.8,2024-10-07,2025-02-18,2518.9,105.45,265618.01,52,Female,30,Yes,High
107,F1107,Nyanza,Nakuru,Maize,Improved,16.23,Sandy,1357.2,29.0,328.8,27.1,Rain-fed,937.9,2024-08-24,2025-01-27,9336.1,101.65,949014.57,24,Female,3,No,Medium
108,F1108,Western,Machakos,Wheat,Improved,3.14,Loam,1226.4,28.7,588.8,33.1,Drip,670.9,2024-04-02,2024-09-17,3021.3,116.38,351618.89,42,Male,12,No,High
109,F1109,Coast,Nyeri,Wheat,Improved,19.59,Clay,1535.7,20.0,609.8,17.3,Sprinkler,229.1,2024-03-06,2024-08-16,8731.9,117.85,1029054.41,66,Male,3,No,High
110,F1110,Central,Meru,Sorghum,Hybrid A,4.52,Silt,361.4,23.8,46.2,27.0,Rain-fed,183.1,2024-01-09,2024-04-18,2396.1,79.78,191160.86,38,Male,37,No,High
111,F1111,Eastern,Machakos,Rice,Local,13.61,Loam,713.1,26.1,255.4,29.6,Drip,644.7,2024-11-02,2025-04-19,6842.5,34.33,234903.02,47,Female,4,No,High
112,F1112,Nyanza,Machakos,Beans,Hybrid B,15.82,Sandy,710.0,32.2,344.7,7.2,Flood,919.0,2024-12-09,2025-04-06,5619.9,34.92,196246.91,55,Female,27,Yes,Medium
113,F1113,Coast,Meru,Maize,Local,4.47,Silt,1234.7,28.5,739.3,30.1,Rain-fed,228.8,2024-05-04,2024-08-14,3038.9,104.71,318203.22,68,Male,31,Yes,Medium
114,F1114,Eastern,Kilifi,Potatoes,Hybrid B,4.63,Silt,504.0,33.3,598.4,27.6,Sprinkler,411.6,2024-06-04,2024-08-14,3786.5,94.69,358543.68,54,Female,20,No,Medium
115,F1115,Eastern,Kisumu,Rice,Improved,9.59,Loam,1484.5,26.3,583.5,11.1,Drip,65.4,2024-09-19,2025-01-30,4718.7,96.16,453750.19,55,Female,19,Yes,Low
116,F1116,Rift Valley,Machakos,Sorghum,Improved,7.91,Silt,1533.4,18.4,409.5,39.7,Drip,183.0,2024-06-17,2024-09-24,5495.4,85.46,469636.88,54,Female,12,Yes,High
117,F1117,Coast,Meru,Maize,Hybrid B,17.01,Loam,1712.3,19.4,541.2,22.8,Rain-fed,636.9,2024-01-18,2024-07-13,7460.7,96.43,719435.3,62,Female,32,Yes,Low
118,F1118,Nyanza,Kilifi,Sorghum,Improved,8.52,Clay,226.8,17.1,583.3,4.8,Drip,278.9,2024-09-29,2025-02-16,3299.8,73.57,242766.29,59,Female,23,No,Medium
119,F1119,Central,Kilifi,Sorghum,Hybrid A,19.21,Loam,934.4,23.1,209.7,18.9,Flood,103.3,2024-02-10,2024-06-06,5700.2,89.72,511421.94,20,Male,6,No,Medium
120,F1120,Eastern,Meru,Sorghum,Improved,6.96,Sandy,1763.7,15.9,779.6,3.7,Sprinkler,904.3,2024-11-26,2025-05-15,6853.6,109.48,750332.13,56,Male,12,No,Low
121,F1121,Nyanza,Meru,Potatoes,Improved,3.31,Sandy,1513.1,22.7,660.3,37.0,Rain-fed,525.8,2024-04-16,2024-09-08,3311.0,112.89,373778.79,42,Male,7,No,Low
122,F1122,Coast,Kisumu,Wheat,Improved,12.3,Clay,1182.2,22.1,484.6,47.1,Flood,226.5,2024-02-08,2024-05-31,4986.5,116.89,582871.98,57,Female,6,No,Low
123,F1123,Rift Valley,Kisumu,Maize,Hybrid A,2.1,Loam,446.8,33.9,575.1,22.2,Sprinkler,147.1,2024-12-31,2025-03-20,2483.3,83.39,207082.39,25,Male,28,No,High
124,F1124,Rift Valley,Machakos,Maize,Local,8.46,Silt,242.0,22.8,296.1,4.2,Drip,593.4,2024-10-11,2025-02-23,4093.5,29.31,119980.49,30,Female,11,Yes,Medium
125,F1125,Central,Kisumu,Rice,Hybrid B,10.12,Silt,301.2,26.9,359.0,9.8,Rain-fed,178.7,2024-06-03,2024-09-15,4316.8,62.11,268116.45,20,Female,22,No,Medium
126,F1126,Nyanza,Kilifi,Beans,Improved,8.9,Sandy,1517.7,18.6,527.8,19.9,Sprinkler,326.9,2024-08-13,2024-12-03,4372.2,79.44,347327.57,64,Female,37,Yes,Medium
127,F1127,Nyanza,Meru,Sorghum,Hybrid A,16.42,Silt,828.7,33.9,108.8,10.5,Sprinkler,839.7,2024-07-11,2024-10-24,7250.8,76.39,553888.61,24,Female,32,Yes,High
128,F1128,Nyanza,Machakos,Potatoes,Improved,5.43,Silt,446.6,25.9,350.0,39.5,Sprinkler,716.6,2024-06-04,2024-09-12,2759.7,57.7,159234.69,71,Male,7,Yes,High
129,F1129,Rift Valley,Machakos,Maize,Hybrid A,3.74,Loam,1180.3,20.2,459.3,25.5,Drip,473.5,2024-12-06,2025-03-31,3419.8,84.5,288973.1,45,Female,38,Yes,Medium
130,F1130,Eastern,Kisumu,Rice,Local,2.54,Silt,865.6,30.7,770.1,26.1,Sprinkler,502.4,2024-01-13,2024-05-23,3678.3,31.61,116271.06,48,Female,21,Yes,Medium
131,F1131,Coast,Meru,Potatoes,Hybrid B,14.36,Clay,236.1,21.6,287.6,21.3,Flood,270.3,2024-01-23,2024-07-14,7887.0,30.94,244023.78,45,Male,12,No,Medium
132,F1132,Eastern,Kisumu,Sorghum,Hybrid A,12.48,Loam,515.7,31.0,481.9,26.8,Sprinkler,359.7,2024-01-15,2024-06-27,6948.2,58.88,409110.02,49,Male,17,No,High
133,F1133,Nyanza,Meru,Sorghum,Local,12.14,Loam,1178.1,28.4,477.9,15.7,Drip,340.1,2024-11-23,2025-03-13,8207.1,54.79,449667.01,31,Female,10,No,Medium
134,F1134,Eastern,Nyeri,Beans,Improved,11.71,Sandy,876.9,17.8,399.6,15.7,Flood,638.4,2024-11-01,2025-01-27,8034.5,73.74,592464.03,75,Female,1,No,Low
135,F1135,Coast,Machakos,Wheat,Hybrid B,7.99,Loam,1098.5,26.3,529.4,39.8,Drip,327.5,2024-04-09,2024-09-30,4619.8,60.91,281392.02,37,Male,35,No,Low
