TransactionID,TransactionDate,CustomerID,BranchID,Region,AccountType,TransactionType,TransactionChannel,TransactionAmount,AccountBalance,CustomerAge,Gender,Occupation,MonthlyIncome,CreditScore,LoanStatus,AccountTenure,NumberOfTransactions,DigitalBankingUsage,CustomerSatisfaction,HighValueCustomer,FutureTransactionAmount
17,2025-05-19,C19476,B001,Western,Savings,Loan Repayment,Internet Banking,213805.47,1693161.67,60,Female,Civil Servant,416232.74,335,No,16.4,117,55.2,3.8,Yes,252686.1
18,2024-10-22,C64932,B009,Nairobi,Savings,Withdrawal,Branch,369500.66,1983281.7,31,Male,Student,137305.32,396,No,0.6,15,83.9,1.5,Yes,411856.6
19,2024-03-03,C43370,B003,Rift Valley,Current,Withdrawal,ATM,494601.99,1865335.59,20,Female,Engineer,46270.92,538,No,9.0,245,91.8,1.4,Yes,453208.96
20,2025-08-09,C23167,B007,Rift Valley,Savings,Withdrawal,Mobile Banking,242371.58,950835.21,75,Male,Business,422041.56,562,Yes,13.2,259,91.8,4.4,Yes,222344.42
21,2025-06-21,C65180,B007,Rift Valley,Fixed Deposit,Deposit,Mobile Banking,113464.87,500994.76,67,Female,Engineer,102653.48,330,Yes,9.0,162,19.8,1.2,No,101274.06
22,2025-11-18,C85661,B009,Western,Savings,Transfer,ATM,127532.67,318591.06,42,Male,Student,159479.25,566,Yes,9.3,14,36.1,1.6,Yes,155259.76
23,2025-01-23,C51677,B015,Coast,Savings,Loan Repayment,Mobile Banking,9127.93,1559594.57,19,Male,Business,113820.13,651,No,15.3,37,64.9,2.7,No,7671.86
24,2025-01-13,C83183,B015,Coast,Fixed Deposit,Transfer,Internet Banking,248634.91,1424150.44,69,Male,Farmer,270272.73,365,Yes,4.8,167,62.5,2.1,No,276152.32
25,2024-09-05,C97183,B008,Rift Valley,Savings,Loan Repayment,Internet Banking,106401.18,155272.84,42,Male,Student,18673.32,806,No,8.8,165,51.5,1.9,Yes,133859.92
26,2025-02-11,C18928,B010,Western,Current,Bill Payment,Internet Banking,387593.89,1992236.12,23,Male,Teacher,285920.8,432,No,4.3,297,2.8,1.5,No,352335.99
27,2025-11-14,C24014,B001,Coast,Current,Withdrawal,Mobile Banking,320118.45,1637905.85,62,Female,Business,355775.12,407,No,16.9,215,39.2,1.4,No,407926.83
28,2024-11-07,C30749,B013,Western,Fixed Deposit,Deposit,ATM,125170.43,1497123.85,71,Male,Farmer,241997.14,431,No,12.2,112,84.8,4.4,No,151985.81
29,2024-09-15,C93167,B003,Coast,Current,Withdrawal,Mobile Banking,250102.29,658237.05,26,Male,Nurse,183979.93,828,Yes,4.9,223,78.4,3.3,No,290733.68
30,2025-02-13,C20793,B001,Coast,Savings,Bill Payment,Branch,290401.99,213315.62,18,Male,Civil Servant,467277.3,547,No,4.2,76,73.4,3.8,Yes,352288.11
31,2025-11-23,C21665,B010,Central,Current,Deposit,Mobile Banking,320612.2,595542.51,39,Male,Engineer,327873.3,556,No,11.1,179,22.6,1.5,No,368024.3
32,2025-07-20,C40349,B014,Eastern,Fixed Deposit,Loan Repayment,Branch,471617.13,1436714.79,28,Female,Nurse,96555.54,830,No,0.9,177,16.1,2.7,Yes,503200.09
33,2025-11-20,C57569,B003,Rift Valley,Current,Deposit,Internet Banking,279077.12,65846.87,39,Female,Business,321498.88,341,Yes,12.8,244,39.7,4.5,No,275257.36
34,2025-10-18,C59457,B005,Central,Savings,Transfer,Mobile Banking,416388.89,126229.56,61,Male,Teacher,190186.19,620,Yes,12.1,149,99.4,2.1,Yes,361193.83
35,2024-05-12,C96702,B013,Central,Fixed Deposit,Loan Repayment,Internet Banking,143649.02,284832.06,44,Male,Farmer,158620.16,693,Yes,16.8,177,3.9,3.0,No,161693.47
36,2025-05-26,C41676,B013,Rift Valley,Savings,Withdrawal,Branch,439869.33,1622430.14,22,Female,Nurse,478907.84,663,Yes,1.8,111,72.7,4.7,No,396439.4
37,2025-06-21,C75092,B011,Nairobi,Savings,Withdrawal,ATM,381027.49,1214277.81,27,Female,Business,445193.95,768,No,16.8,11,77.2,3.9,Yes,362278.49
38,2025-10-02,C42658,B010,Coast,Current,Bill Payment,Mobile Banking,16386.95,568469.26,40,Male,Student,461232.45,637,No,11.0,103,67.0,4.8,No,14564.34
39,2024-09-17,C20403,B007,Nairobi,Current,Transfer,Internet Banking,239357.11,958848.19,53,Male,Civil Servant,487995.0,556,Yes,3.9,10,16.8,4.4,No,222100.18
40,2025-02-06,C31148,B015,Western,Current,Withdrawal,ATM,179300.64,311522.31,47,Female,Farmer,370563.15,792,No,14.8,91,33.4,1.6,Yes,188568.22
41,2025-07-22,C30099,B013,Coast,Savings,Loan Repayment,ATM,334084.82,1586745.7,43,Female,Civil Servant,217528.16,623,No,19.6,33,9.9,4.9,Yes,400022.41
42,2025-01-30,C42043,B012,Coast,Savings,Transfer,ATM,78436.13,369098.38,64,Male,Teacher,318956.15,688,Yes,14.7,135,44.3,3.0,Yes,88335.18
43,2025-10-14,C94419,B007,Western,Current,Withdrawal,Mobile Banking,214385.69,962429.04,41,Male,Engineer,495804.23,775,Yes,9.4,266,49.2,3.4,No,237394.7
44,2024-04-10,C98574,B008,Eastern,Savings,Transfer,Branch,241999.09,23197.15,45,Female,Civil Servant,39317.8,500,Yes,17.6,63,93.4,3.2,Yes,207269.79
45,2025-08-25,C27542,B004,Western,Savings,Transfer,ATM,372391.66,1916353.72,67,Male,Teacher,104327.7,511,Yes,10.6,4,19.2,2.1,No,452207.69
46,2024-12-21,C54256,B004,Western,Savings,Bill Payment,ATM,457235.62,334849.83,20,Male,Civil Servant,438670.74,589,No,7.1,242,34.1,2.2,No,514008.56
47,2024-01-15,C43422,B009,Rift Valley,Savings,Transfer,ATM,234816.52,1961880.0,19,Female,Student,463719.52,682,Yes,3.9,184,37.2,2.4,No,300512.27
48,2024-09-28,C89042,B014,Eastern,Fixed Deposit,Transfer,ATM,195116.81,175591.63,48,Male,Civil Servant,49966.46,507,Yes,7.2,165,97.7,4.4,Yes,237822.66
49,2025-07-20,C83689,B007,Eastern,Fixed Deposit,Deposit,Internet Banking,125664.29,628762.16,42,Female,Engineer,370235.06,483,Yes,17.6,297,78.6,3.7,Yes,110285.72
50,2024-11-08,C71513,B003,Central,Savings,Transfer,Internet Banking,493533.65,1156622.37,33,Female,Business,40573.78,559,No,18.7,43,80.9,1.7,Yes,472983.16
51,2025-01-28,C90745,B014,Eastern,Savings,Bill Payment,Branch,179982.73,561575.52,73,Male,Engineer,471420.26,588,Yes,14.4,175,97.2,4.1,Yes,153025.62
52,2025-12-21,C32903,B001,Eastern,Current,Bill Payment,ATM,358888.25,141363.23,28,Male,Business,52929.21,376,Yes,2.0,138,79.9,4.3,No,318356.03
53,2025-01-29,C66145,B003,Coast,Savings,Loan Repayment,Branch,299803.48,641289.58,22,Female,Business,347607.17,614,Yes,12.9,103,5.4,3.2,Yes,331616.68
54,2024-04-23,C82563,B007,Nairobi,Savings,Deposit,ATM,135031.57,326875.84,69,Male,Civil Servant,378969.76,506,Yes,3.8,219,84.5,3.4,No,113449.28
55,2024-09-04,C77837,B013,Rift Valley,Savings,Loan Repayment,Branch,104515.43,1356666.28,47,Female,Student,292907.36,559,No,3.0,238,54.2,4.7,No,122842.15
56,2025-06-08,C24249,B015,Eastern,Savings,Deposit,Mobile Banking,303984.37,1204558.82,74,Male,Nurse,296928.23,598,Yes,6.0,96,67.4,4.5,Yes,254152.69
57,2024-07-21,C43038,B006,Eastern,Savings,Bill Payment,Internet Banking,376809.27,1137551.66,47,Male,Farmer,192558.69,548,Yes,13.5,143,23.0,3.0,Yes,439281.17
58,2025-05-09,C26405,B008,Western,Fixed Deposit,Transfer,Branch,349146.67,1888126.74,75,Male,Business,463354.1,611,Yes,10.7,144,2.7,2.5,No,410829.35
59,2025-09-28,C83596,B002,Eastern,Current,Loan Repayment,Mobile Banking,268385.41,1074199.99,30,Male,Civil Servant,21891.31,824,Yes,9.9,223,31.2,3.0,No,318954.13
60,2025-06-16,C10386,B010,Central,Current,Loan Repayment,Internet Banking,370991.9,488508.2,38,Male,Student,341939.68,422,Yes,15.1,146,89.8,1.8,Yes,401824.71
61,2024-02-15,C60173,B014,Nairobi,Current,Transfer,ATM,154573.46,352927.09,55,Male,Teacher,196958.86,845,No,13.9,76,21.7,2.7,No,186236.18
62,2024-03-26,C53445,B013,Coast,Savings,Withdrawal,ATM,445076.98,138088.37,33,Female,Engineer,107613.4,638,No,18.0,167,73.5,2.8,Yes,387604.81
63,2025-04-20,C58991,B012,Coast,Current,Deposit,ATM,241008.55,427588.32,51,Male,Engineer,342217.02,737,Yes,13.7,48,44.7,4.5,No,250634.3
64,2024-07-11,C42527,B009,Nairobi,Current,Withdrawal,Mobile Banking,112576.11,1297403.44,38,Female,Student,421236.38,665,Yes,11.9,294,63.7,1.1,Yes,113297.56
65,2025-02-17,C27583,B001,Western,Fixed Deposit,Transfer,Mobile Banking,453044.87,539132.21,25,Male,Engineer,154914.53,678,No,18.5,81,93.4,1.1,Yes,480893.62
66,2024-11-21,C48013,B008,Central,Fixed Deposit,Deposit,Branch,250509.53,372263.37,73,Female,Student,194550.11,337,Yes,13.6,293,48.5,3.3,No,204654.68
67,2025-09-04,C75354,B009,Eastern,Savings,Withdrawal,Branch,435354.58,660448.69,48,Male,Engineer,499540.37,448,Yes,15.2,80,39.9,4.3,No,543481.25
68,2024-05-19,C12786,B005,Western,Current,Bill Payment,Mobile Banking,320068.78,764664.39,54,Female,Teacher,262925.64,353,No,4.9,66,32.5,1.0,Yes,325151.38
69,2024-01-09,C67016,B013,Coast,Fixed Deposit,Transfer,Mobile Banking,170999.6,1535419.91,22,Female,Nurse,358130.95,444,Yes,16.3,280,35.9,1.1,No,212658.92
70,2024-05-31,C42083,B011,Central,Current,Deposit,ATM,363053.33,1229133.74,45,Male,Farmer,257303.64,773,Yes,3.5,70,82.0,2.4,Yes,349585.46
71,2025-06-05,C66346,B002,Eastern,Fixed Deposit,Bill Payment,Mobile Banking,129548.78,687528.26,63,Female,Civil Servant,247695.43,424,Yes,3.7,21,7.7,1.9,No,137676.49
72,2025-08-26,C60287,B012,Coast,Savings,Withdrawal,Branch,318682.93,1208153.52,37,Female,Civil Servant,70116.84,348,No,8.2,123,30.7,3.9,Yes,347563.73
73,2024-03-13,C84896,B006,Rift Valley,Savings,Withdrawal,Mobile Banking,163384.81,1425431.53,29,Male,Teacher,296297.74,303,No,1.1,221,45.3,3.8,Yes,174528.02
74,2025-03-06,C86055,B005,Nairobi,Savings,Deposit,Internet Banking,124029.47,1898744.08,18,Male,Teacher,308384.83,349,No,4.1,277,56.9,1.4,Yes,120879.28
75,2025-08-17,C43536,B007,Eastern,Current,Transfer,Branch,203925.75,913784.69,69,Female,Farmer,250450.06,832,Yes,14.8,283,14.8,1.9,No,251621.4
76,2024-09-27,C48585,B005,Western,Current,Withdrawal,Internet Banking,219835.8,348464.0,24,Female,Teacher,154924.92,738,Yes,15.4,63,40.7,2.6,No,241167.2
77,2024-08-25,C83691,B008,Rift Valley,Fixed Deposit,Loan Repayment,Mobile Banking,26864.73,68967.9,21,Female,Engineer,266003.67,614,Yes,13.9,170,58.6,2.6,Yes,23113.27
78,2024-06-25,C36726,B009,Eastern,Fixed Deposit,Deposit,Mobile Banking,442118.47,1108672.76,73,Male,Student,499053.86,453,No,4.1,14,37.3,2.1,Yes,396618.6
79,2025-01-07,C63150,B015,Nairobi,Savings,Transfer,Internet Banking,317995.25,767633.59,74,Male,Nurse,207636.64,396,No,12.5,256,84.8,4.5,No,276452.52
80,2025-03-19,C18619,B007,Eastern,Current,Bill Payment,Branch,233029.68,641455.88,57,Female,Business,297709.7,566,Yes,17.2,299,66.4,1.6,No,206148.5
81,2025-03-30,C25373,B001,Rift Valley,Current,Deposit,ATM,268902.59,1964965.27,55,Male,Teacher,218422.4,616,No,13.3,64,54.2,1.6,Yes,272818.17
82,2024-08-06,C97839,B001,Coast,Savings,Transfer,ATM,418152.69,1997507.56,21,Female,Business,25725.56,367,No,4.8,116,64.5,3.6,No,516883.42
83,2024-05-03,C12213,B001,Western,Fixed Deposit,Withdrawal,Internet Banking,257890.19,1272526.59,62,Male,Engineer,242620.32,485,No,2.4,28,39.9,4.2,Yes,319438.72
84,2025-04-15,C55822,B014,Western,Savings,Withdrawal,Internet Banking,195924.18,496629.28,62,Female,Civil Servant,37960.42,417,No,12.9,6,92.8,1.6,No,184756.8
85,2025-01-18,C27764,B012,Nairobi,Current,Transfer,Mobile Banking,35409.28,1365407.18,30,Female,Engineer,373829.0,817,Yes,3.0,80,42.0,3.8,Yes,35300.41
86,2025-11-24,C80261,B007,Coast,Current,Withdrawal,ATM,458071.46,267198.08,45,Female,Nurse,290356.69,397,Yes,7.3,3,11.8,1.9,Yes,504055.44
87,2025-09-11,C76536,B015,Coast,Savings,Loan Repayment,Internet Banking,305115.21,416579.38,71,Male,Teacher,330511.75,335,No,0.7,106,25.8,1.8,Yes,252492.47
88,2025-10-26,C66235,B002,Nairobi,Savings,Bill Payment,Internet Banking,370895.14,487509.05,45,Female,Nurse,214325.51,543,Yes,18.2,69,79.3,3.8,No,421809.08
89,2024-09-18,C41617,B011,Western,Fixed Deposit,Deposit,Mobile Banking,48532.11,795819.0,65,Male,Engineer,425679.52,843,No,3.3,118,71.7,3.1,No,61653.32
90,2024-03-12,C36990,B010,Western,Current,Bill Payment,ATM,422223.28,174109.5,28,Female,Farmer,21153.19,757,No,7.2,214,85.9,2.8,No,361216.45
91,2025-07-02,C19652,B002,Nairobi,Fixed Deposit,Loan Repayment,Mobile Banking,34707.86,646977.45,38,Female,Civil Servant,464316.39,362,No,2.0,265,25.0,1.0,No,36104.0
92,2025-11-09,C65457,B011,Coast,Fixed Deposit,Withdrawal,Internet Banking,205786.37,1397884.23,60,Female,Civil Servant,46185.39,401,Yes,15.5,229,87.1,4.7,No,166343.88
93,2025-01-29,C13297,B005,Western,Fixed Deposit,Deposit,Branch,413887.95,919023.1,34,Female,Farmer,17194.02,617,No,12.6,205,39.7,4.4,No,461936.88
94,2024-03-06,C67352,B014,Eastern,Fixed Deposit,Transfer,Internet Banking,157324.8,938775.6,64,Male,Business,26449.39,631,Yes,8.4,160,8.2,2.1,Yes,191874.66
95,2024-05-28,C45183,B010,Western,Current,Deposit,Branch,499545.86,1162285.95,71,Female,Business,203682.34,310,Yes,14.1,26,85.6,3.0,Yes,461978.3
96,2025-05-07,C34031,B010,Nairobi,Current,Loan Repayment,ATM,4437.14,105415.55,74,Female,Farmer,415202.54,472,Yes,6.3,89,78.6,3.4,No,4549.35
97,2025-08-12,C14075,B004,Rift Valley,Savings,Loan Repayment,Mobile Banking,471322.77,166059.42,70,Male,Student,129642.59,730,Yes,10.9,176,78.6,1.1,Yes,447628.48
98,2024-02-20,C73728,B004,Nairobi,Savings,Transfer,Mobile Banking,231425.6,306663.01,74,Male,Farmer,265012.15,480,No,19.4,242,51.1,4.7,Yes,250855.51
99,2024-12-23,C35768,B006,Coast,Current,Withdrawal,ATM,278857.05,7465.19,41,Male,Farmer,414436.29,482,No,13.4,188,75.6,3.6,Yes,244913.97
100,2024-02-25,C87672,B011,Nairobi,Current,Withdrawal,ATM,325825.36,1289901.66,43,Female,Farmer,257450.62,641,No,10.1,133,42.3,2.8,No,370919.23
101,2024-09-18,C39342,B005,Rift Valley,Fixed Deposit,Bill Payment,ATM,296770.28,980205.99,43,Female,Teacher,383446.26,780,Yes,8.6,120,68.6,3.0,No,291897.34
102,2025-02-18,C43645,B014,Nairobi,Current,Withdrawal,Mobile Banking,441260.54,1754540.64,70,Female,Nurse,239040.27,834,Yes,9.3,60,80.6,3.2,No,376680.75
103,2024-03-03,C63235,B011,Nairobi,Fixed Deposit,Bill Payment,Branch,205253.3,237746.97,54,Male,Farmer,44239.0,447,No,18.5,179,24.6,4.8,Yes,237819.71
104,2025-02-25,C85763,B014,Western,Current,Bill Payment,Mobile Banking,123172.31,1223988.27,22,Female,Civil Servant,398332.37,715,No,6.1,1,43.1,1.9,No,117908.73
105,2024-01-20,C79055,B008,Rift Valley,Current,Withdrawal,ATM,147505.99,997011.51,29,Male,Teacher,199414.28,388,Yes,13.8,45,50.0,1.6,No,156845.88
106,2024-10-16,C77854,B009,Rift Valley,Current,Bill Payment,Internet Banking,353094.58,1880934.3,30,Male,Business,235992.36,842,Yes,4.8,120,36.0,4.4,No,454038.08
107,2025-12-26,C40549,B015,Rift Valley,Current,Bill Payment,Internet Banking,85881.32,70879.25,35,Male,Teacher,207133.33,407,Yes,8.0,53,94.9,2.8,No,108048.15
108,2024-02-06,C71734,B002,Eastern,Savings,Deposit,Mobile Banking,280262.68,257212.67,58,Female,Student,313743.31,353,No,11.4,168,46.0,1.6,No,315630.73
109,2024-06-01,C45408,B010,Coast,Savings,Bill Payment,ATM,285954.61,1361865.42,33,Female,Farmer,367966.14,600,Yes,12.6,212,5.5,3.8,Yes,308929.7
110,2024-02-18,C12936,B014,Central,Current,Withdrawal,Branch,415325.49,1739686.04,46,Male,Teacher,52905.26,365,No,12.1,277,28.8,4.5,No,506409.43
111,2024-12-07,C43396,B011,Rift Valley,Current,Bill Payment,Internet Banking,195361.35,1717740.37,21,Male,Nurse,149324.64,716,Yes,14.3,298,84.2,3.4,Yes,225945.18
112,2025-07-10,C90606,B002,Eastern,Fixed Deposit,Bill Payment,ATM,357477.04,1127937.43,39,Female,Farmer,243501.73,439,Yes,3.3,47,82.1,1.3,No,399273.44
113,2025-12-19,C79762,B014,Western,Current,Loan Repayment,Mobile Banking,353418.85,900903.21,67,Male,Engineer,155611.98,373,Yes,16.8,93,86.2,1.1,Yes,393862.96
114,2024-03-22,C75361,B012,Central,Fixed Deposit,Withdrawal,ATM,145785.63,1394395.13,62,Female,Nurse,413835.85,667,Yes,7.4,103,12.7,4.8,No,179356.06
115,2024-10-31,C66330,B003,Rift Valley,Fixed Deposit,Withdrawal,Branch,355575.87,1112236.62,68,Male,Student,359734.73,508,No,16.2,21,80.4,2.2,No,443964.14
116,2024-08-12,C70242,B005,Central,Current,Withdrawal,ATM,57266.4,190680.44,29,Male,Engineer,463704.43,373,Yes,19.5,294,2.1,2.6,Yes,63346.47
117,2025-02-16,C40246,B001,Central,Savings,Transfer,Mobile Banking,87188.71,135367.36,47,Female,Engineer,125736.62,506,No,4.0,244,92.9,4.2,Yes,99532.76
118,2024-10-31,C91305,B006,Rift Valley,Savings,Deposit,Internet Banking,412462.5,1049698.73,57,Male,Student,187959.55,517,No,2.9,26,24.3,3.8,No,492222.3
119,2024-01-08,C19823,B012,Rift Valley,Savings,Transfer,Branch,444545.8,1580924.33,54,Male,Farmer,316024.54,447,Yes,3.9,268,59.5,2.8,Yes,525336.4
120,2024-07-24,C49676,B001,Rift Valley,Current,Withdrawal,ATM,220682.45,1726631.8,34,Female,Civil Servant,257314.77,463,No,17.7,232,14.1,3.3,Yes,261085.3
121,2025-03-27,C72187,B004,Central,Fixed Deposit,Bill Payment,Mobile Banking,405786.56,449758.34,58,Female,Nurse,299839.46,554,No,9.7,100,1.1,1.2,Yes,379115.25
122,2025-07-14,C93281,B002,Eastern,Fixed Deposit,Bill Payment,Branch,56974.02,1788899.99,62,Male,Civil Servant,258252.42,641,Yes,10.9,264,30.5,4.4,Yes,62457.31
123,2025-11-20,C99131,B014,Nairobi,Savings,Transfer,Branch,156963.86,629435.88,63,Female,Farmer,42891.82,710,Yes,13.9,270,22.5,4.5,No,130590.73
124,2024-02-01,C60608,B001,Central,Fixed Deposit,Loan Repayment,Branch,429834.7,319344.67,18,Female,Farmer,367915.64,808,No,17.5,10,91.6,2.2,Yes,394856.22
125,2024-03-22,C52485,B006,Eastern,Savings,Deposit,Internet Banking,398790.52,402844.38,30,Female,Nurse,218171.29,788,Yes,19.1,295,51.5,2.3,No,414550.09
126,2024-12-02,C10396,B012,Coast,Savings,Bill Payment,Branch,438077.59,224188.57,62,Male,Teacher,359394.23,539,No,6.4,265,57.9,1.5,No,400390.01
127,2024-06-11,C56188,B004,Western,Current,Bill Payment,Internet Banking,439098.14,1262990.37,37,Female,Business,245592.79,835,No,17.9,11,98.8,2.8,No,433894.75
128,2024-12-07,C18625,B013,Nairobi,Current,Transfer,Internet Banking,324646.18,84333.79,42,Female,Farmer,166263.07,598,No,11.9,141,23.8,2.5,Yes,278810.18
129,2024-09-11,C17575,B010,Coast,Current,Bill Payment,Branch,111273.22,753648.87,35,Female,Business,257578.23,801,No,5.1,1,61.7,4.1,No,96028.62
130,2025-09-07,C89659,B004,Nairobi,Fixed Deposit,Loan Repayment,Internet Banking,253963.72,1329457.7,45,Male,Civil Servant,16034.89,306,No,11.6,104,83.5,3.8,No,229156.13
131,2024-09-03,C54976,B002,Rift Valley,Savings,Deposit,Branch,165939.33,1733034.43,27,Female,Student,142615.06,575,Yes,14.4,174,78.2,4.2,Yes,148267.57
132,2024-10-14,C63545,B012,Nairobi,Current,Loan Repayment,Branch,81126.53,1129329.24,53,Female,Nurse,388839.61,419,Yes,10.6,266,60.2,3.1,Yes,105112.28
133,2025-08-16,C12443,B008,Coast,Current,Deposit,Mobile Banking,333678.45,732904.92,20,Female,Nurse,95516.46,545,No,15.7,254,69.5,3.5,No,301096.86
134,2024-05-02,C24165,B004,Central,Current,Loan Repayment,Branch,78552.44,1154201.82,38,Male,Teacher,311283.34,436,No,19.2,75,14.5,2.1,No,82094.34
135,2025-01-27,C43179,B001,Rift Valley,Fixed Deposit,Withdrawal,Branch,322414.58,1399643.7,70,Female,Teacher,148859.87,822,No,18.5,55,28.8,4.6,Yes,329653.8
136,2024-01-22,C12292,B007,Eastern,Savings,Loan Repayment,ATM,267098.96,1930986.06,71,Female,Student,172183.23,387,No,17.3,64,28.1,1.3,No,322565.47
137,2024-06-21,C87242,B008,Coast,Current,Deposit,Mobile Banking,343840.92,1188340.1,55,Male,Nurse,360989.97,693,No,14.5,201,55.1,3.6,Yes,408721.8
138,2024-03-05,C85770,B006,Western,Fixed Deposit,Deposit,ATM,396132.04,116788.63,64,Male,Nurse,30600.88,476,Yes,5.8,211,82.8,4.2,No,319080.09
139,2025-06-06,C64106,B013,Nairobi,Fixed Deposit,Bill Payment,Internet Banking,430685.58,630438.74,74,Male,Student,417795.13,415,Yes,12.3,18,80.2,2.8,Yes,410351.29
140,2025-12-24,C16353,B002,Eastern,Fixed Deposit,Withdrawal,Mobile Banking,284371.66,63115.35,50,Female,Engineer,186256.82,519,No,16.7,211,75.1,2.4,Yes,303159.71
141,2025-10-05,C78486,B008,Central,Savings,Bill Payment,Branch,201956.16,1948468.48,21,Female,Civil Servant,112068.91,604,No,5.0,274,41.6,1.1,No,165135.27
142,2024-05-04,C39571,B007,Coast,Fixed Deposit,Bill Payment,Branch,100194.18,1631771.33,75,Female,Engineer,20474.79,349,No,15.0,249,4.0,1.5,No,108735.03
143,2024-12-01,C42372,B001,Eastern,Current,Bill Payment,Mobile Banking,284380.97,428127.26,54,Female,Civil Servant,82702.72,605,Yes,20.0,60,14.5,2.5,No,311789.73
144,2024-05-05,C21163,B007,Nairobi,Fixed Deposit,Deposit,ATM,134319.79,127842.77,33,Male,Student,351345.69,701,Yes,5.2,158,8.4,3.1,Yes,114700.59
145,2024-02-29,C38096,B005,Western,Fixed Deposit,Deposit,ATM,137708.22,655275.65,44,Male,Farmer,29580.37,786,No,12.9,178,29.4,3.4,No,117834.36
146,2025-10-01,C45606,B009,Coast,Current,Transfer,Branch,329819.04,1561587.14,24,Female,Civil Servant,307676.66,486,Yes,9.2,86,68.8,3.2,No,399774.52
147,2024-05-07,C41555,B011,Central,Current,Bill Payment,Branch,74677.52,1308790.81,66,Female,Farmer,314352.31,826,No,14.5,212,19.6,3.9,Yes,82448.28
148,2024-05-28,C88090,B012,Western,Savings,Bill Payment,Internet Banking,246835.41,1336844.43,64,Male,Business,205222.39,417,Yes,7.2,76,96.0,3.9,Yes,317307.63
149,2025-01-07,C45544,B005,Eastern,Fixed Deposit,Bill Payment,Internet Banking,68432.48,1732086.22,72,Female,Student,302185.77,708,No,20.0,48,60.3,1.1,Yes,80142.61
150,2024-02-24,C52734,B009,Nairobi,Fixed Deposit,Transfer,Internet Banking,158564.92,505970.56,24,Female,Teacher,115748.76,476,No,5.7,297,37.5,3.3,Yes,187885.78
151,2024-11-13,C51466,B006,Rift Valley,Current,Bill Payment,Mobile Banking,259811.09,1250782.46,55,Female,Farmer,331422.65,597,No,2.1,239,22.9,1.1,No,281012.1
