TransactionID,Date,Branch,CustomerID,Age,Gender,AccountType,TransactionType,Channel,Amount,Balance,Region
19,2025-12-23,Kisumu,77947,41,Male,Current,Withdrawal,Internet,127324.74,613228.22,Coast
20,2025-05-03,Eldoret,39719,30,Female,Current,Deposit,ATM,158043.82,472240.06,Coast
21,2025-12-21,Nakuru,55125,46,Female,Current,Deposit,Mobile,20521.21,470079.98,Western
22,2025-04-15,Eldoret,91797,75,Male,Current,Transfer,ATM,166946.3,119903.63,Rift Valley
23,2025-12-31,Mombasa,72656,74,Male,Current,Transfer,ATM,160184.63,971657.29,Rift Valley
24,2025-08-26,Eldoret,21130,64,Male,Savings,Withdrawal,ATM,30315.03,904852.1,Coast
25,2025-11-10,Nakuru,72174,60,Female,Savings,Loan Repayment,Mobile,4377.2,799357.01,Central
26,2025-09-27,Mombasa,66860,73,Male,Savings,Deposit,Internet,42634.68,501161.92,Western
27,2025-05-13,Nakuru,64920,71,Male,Savings,Transfer,Branch,132528.72,815047.03,Rift Valley
28,2025-09-14,Mombasa,79707,27,Male,Current,Withdrawal,ATM,155230.19,149802.48,Coast
29,2025-08-31,Nakuru,25772,53,Male,Current,Loan Repayment,Branch,156876.07,106109.42,Central
30,2025-05-08,Mombasa,46296,20,Male,Current,Loan Repayment,ATM,152022.63,912488.04,Rift Valley
31,2025-06-16,Nakuru,76263,56,Male,Current,Bill Payment,Branch,101599.6,247655.8,Western
32,2025-10-14,Mombasa,68658,26,Female,Savings,Bill Payment,Branch,63264.36,671155.45,Rift Valley
33,2025-02-07,Mombasa,97749,37,Male,Savings,Transfer,Mobile,50696.26,137254.6,Rift Valley
34,2025-04-23,Nairobi,62200,74,Female,Savings,Withdrawal,Mobile,141294.08,994072.61,Rift Valley
35,2025-06-23,Eldoret,35656,40,Female,Savings,Transfer,ATM,67662.14,458670.77,Central
36,2025-07-16,Kisumu,77821,57,Female,Savings,Deposit,Mobile,194342.02,104779.59,Western
37,2025-05-20,Nairobi,33796,35,Male,Current,Transfer,Branch,29958.65,919171.51,Rift Valley
38,2025-12-25,Kisumu,21725,35,Male,Savings,Bill Payment,ATM,53857.79,16831.72,Central
39,2025-05-14,Nairobi,89715,72,Male,Savings,Transfer,ATM,90809.33,339151.78,Rift Valley
40,2025-05-18,Nakuru,26937,20,Male,Savings,Withdrawal,Internet,10170.91,201768.25,Western
41,2025-11-18,Kisumu,79610,66,Male,Current,Bill Payment,Mobile,54177.42,803678.94,Western
42,2025-01-19,Nairobi,12416,64,Male,Current,Withdrawal,Branch,21345.64,818920.14,Rift Valley
43,2025-12-03,Eldoret,81553,71,Female,Current,Withdrawal,Mobile,68606.65,832286.54,Coast
44,2025-07-27,Kisumu,17128,71,Male,Savings,Deposit,Internet,86205.07,55401.09,Rift Valley
45,2025-09-17,Kisumu,88483,33,Female,Savings,Bill Payment,Mobile,31590.83,445824.61,Western
46,2025-07-06,Kisumu,81706,38,Male,Savings,Transfer,Mobile,71381.13,1068.91,Rift Valley
47,2025-02-12,Eldoret,46559,50,Male,Savings,Loan Repayment,ATM,18261.25,817044.28,Coast
48,2025-07-24,Nakuru,15461,43,Male,Current,Transfer,Mobile,16988.09,957637.18,Coast
49,2025-12-03,Nakuru,61054,66,Female,Current,Withdrawal,Internet,144858.74,643219.45,Central
50,2025-09-20,Eldoret,76262,26,Male,Savings,Deposit,ATM,8468.23,637119.88,Central
51,2025-07-12,Eldoret,83207,21,Male,Savings,Bill Payment,Internet,762.53,797697.55,Central
52,2025-12-04,Nakuru,18657,65,Female,Current,Deposit,Internet,47033.65,756441.4,Coast
53,2025-11-29,Eldoret,74742,72,Female,Savings,Bill Payment,Internet,153417.32,616974.02,Coast
54,2025-02-09,Nakuru,29323,39,Female,Current,Loan Repayment,Mobile,2592.6,60661.01,Western
55,2025-12-11,Nairobi,38533,61,Female,Current,Loan Repayment,Internet,92986.1,466339.15,Central
56,2025-10-09,Mombasa,50851,23,Female,Savings,Transfer,Branch,15385.2,506618.51,Rift Valley
57,2025-05-18,Eldoret,37503,31,Male,Savings,Withdrawal,Internet,190552.79,132605.07,Western
58,2025-02-27,Kisumu,40327,49,Female,Current,Deposit,Mobile,817.74,491696.11,Rift Valley
59,2025-07-27,Kisumu,28442,44,Female,Current,Transfer,ATM,168062.18,1741.38,Western
60,2025-07-23,Nairobi,35656,63,Male,Current,Transfer,Internet,13088.97,390161.07,Central
61,2025-07-04,Eldoret,46065,72,Male,Current,Deposit,ATM,166951.73,285623.19,Coast
62,2025-05-08,Kisumu,67178,50,Female,Savings,Transfer,Branch,176864.88,811962.27,Rift Valley
63,2025-10-11,Nakuru,36664,64,Male,Savings,Bill Payment,Branch,123021.32,138572.53,Western
64,2025-09-06,Nairobi,82103,26,Male,Current,Bill Payment,Internet,56421.03,255742.78,Western
65,2025-07-27,Mombasa,49431,48,Female,Savings,Withdrawal,Mobile,15126.6,500604.79,Rift Valley
66,2025-10-09,Mombasa,69373,39,Female,Current,Withdrawal,Mobile,48892.72,174695.09,Central
67,2025-06-13,Mombasa,58274,34,Male,Savings,Bill Payment,Branch,82835.33,524168.14,Rift Valley
68,2025-05-19,Kisumu,18134,49,Female,Current,Withdrawal,Mobile,18610.37,896790.13,Rift Valley
69,2025-07-24,Eldoret,66601,37,Male,Savings,Deposit,Branch,141931.41,895696.52,Rift Valley
70,2025-10-28,,10023,22,Female,Current,Bill Payment,Mobile,156643.13,223800.41,Coast
71,2025-09-25,Nairobi,94849,72,Female,Savings,Loan Repayment,ATM,373.07,125651.77,Central
72,2025-11-27,Kisumu,26772,58,Female,Current,Deposit,ATM,14163.35,524436.68,Coast
73,2025-07-18,Kisumu,39305,68,Male,Savings,Loan Repayment,Internet,199275.17,278603.65,Western
74,2025-11-27,Mombasa,72299,51,Male,Savings,Deposit,Branch,140960.27,307397.83,Central
75,2025-04-10,Eldoret,98403,59,Female,Savings,Transfer,Mobile,133504.27,925160.83,Coast
76,2025-09-10,Nairobi,54309,63,Female,Current,Bill Payment,Mobile,1450.02,292111.21,Central
77,2025-04-16,Eldoret,36268,37,Male,Savings,Bill Payment,Mobile,53077.89,889333.88,Central
78,2025-11-16,Eldoret,89966,29,Male,Current,Bill Payment,ATM,189757.38,146383.05,Rift Valley
79,2025-01-28,Mombasa,13097,56,Male,Current,Deposit,ATM,36902.55,449641.96,Western
80,2025-02-27,Nairobi,31709,39,Male,Savings,Loan Repayment,Branch,6475.55,664429.86,Rift Valley
81,2025-07-11,Kisumu,67990,28,Male,Savings,Deposit,Internet,16244.52,420183.16,Central
82,2025-10-15,Mombasa,59824,40,Female,Current,Deposit,ATM,141080.77,195715.83,Rift Valley
83,2025-04-09,Kisumu,57742,65,Female,Savings,Bill Payment,Mobile,162383.72,766668.0,Central
84,2025-07-12,Nairobi,70824,22,Male,Current,Withdrawal,ATM,179720.5,339069.53,Western
85,2025-06-21,Nakuru,15712,34,Female,Current,Transfer,ATM,144342.26,595568.16,Central
86,2025-01-13,Mombasa,24058,48,Female,Current,Transfer,Branch,162978.57,132707.27,Rift Valley
87,2025-04-04,Nairobi,49756,70,Male,Savings,Transfer,Internet,92210.16,783833.03,Central
88,2025-09-20,Mombasa,61338,66,Male,Savings,Bill Payment,ATM,129944.24,481689.9,Western
89,2025-03-24,Eldoret,23791,22,Female,Savings,Withdrawal,ATM,84269.95,988432.14,Rift Valley
90,2025-03-30,Mombasa,27423,44,Female,Savings,Loan Repayment,ATM,155972.14,293923.42,Western
91,2025-10-18,Kisumu,58886,34,Female,Savings,Bill Payment,Mobile,37228.71,235504.01,Western
92,2025-10-24,Mombasa,52773,22,Female,Current,Withdrawal,Mobile,129963.17,100542.45,Rift Valley
93,2025-01-19,Nairobi,10588,48,Male,Current,Transfer,ATM,175388.75,232892.68,Central
94,2025-04-08,Nakuru,86440,30,Male,Current,Loan Repayment,Mobile,89877.86,259948.22,Central
95,2025-02-24,Nakuru,91257,40,Male,Savings,Transfer,Internet,28359.76,203976.44,Western
96,2025-01-20,Nakuru,95412,31,Male,Current,Bill Payment,Internet,37110.51,312195.73,Coast
97,2025-01-17,Eldoret,81833,48,Male,Current,Deposit,Branch,132838.88,154552.17,Central
98,2025-12-01,Mombasa,62136,62,Female,Current,Transfer,Internet,83627.29,51360.68,Western
99,2025-08-01,Eldoret,12387,73,Female,Savings,Bill Payment,Branch,40813.07,5876.6,Coast
100,2025-08-05,Nairobi,21860,43,Female,Current,Withdrawal,Mobile,3065.39,551547.86,Rift Valley
101,2025-02-15,Nakuru,91552,41,Male,Savings,Transfer,Internet,32446.76,171785.3,Central
102,2025-02-25,Eldoret,74292,66,Male,Current,Withdrawal,ATM,195111.76,482736.49,Central
103,2025-11-08,Eldoret,21310,75,Male,Savings,Loan Repayment,Branch,122984.35,196112.94,Rift Valley
104,2025-04-04,Nakuru,38591,20,Female,Savings,Bill Payment,Internet,24699.04,247058.9,Coast
105,2025-01-22,Nakuru,98113,20,Female,Savings,Bill Payment,Branch,110055.36,627042.42,Western
106,2025-11-29,Eldoret,50397,55,Male,Current,Bill Payment,Internet,89413.2,438352.59,Central
107,2025-01-02,Nakuru,74159,47,Male,Current,Loan Repayment,Branch,167325.38,810529.35,Rift Valley
108,2025-02-24,Nairobi,26836,40,Female,Current,Deposit,Branch,100917.98,657095.78,Central
109,2025-11-22,Mombasa,20779,64,Female,Savings,Deposit,Branch,130583.86,784242.77,Central
110,2025-02-03,Nakuru,24363,30,Male,Current,Transfer,Mobile,137258.18,721079.3,Coast
111,2025-02-03,Kisumu,90012,66,Female,Savings,Transfer,Internet,181021.93,456402.84,Western
112,2025-09-15,Eldoret,37305,55,Female,Savings,Transfer,Internet,7462.93,182096.39,Coast
113,2025-11-22,Kisumu,99087,38,Female,Savings,Transfer,ATM,153676.32,48571.58,Western
114,2025-08-20,Nakuru,78347,55,Male,Current,Loan Repayment,Branch,147610.83,371466.22,Rift Valley
115,2025-07-08,Nakuru,29162,41,Female,Savings,Bill Payment,Mobile,35433.54,743594.72,Central
116,2025-06-01,Nakuru,43246,37,Female,Savings,Deposit,Mobile,29958.01,616052.05,Rift Valley
117,2025-08-02,Nakuru,57723,75,Male,Savings,Bill Payment,Mobile,122542.63,45583.7,Central
118,2025-01-02,Nakuru,56525,37,Male,Current,Loan Repayment,Mobile,82706.37,301154.98,Coast
119,2025-04-15,Kisumu,91779,71,Female,Savings,Withdrawal,ATM,187324.52,243588.27,Coast
120,2025-08-19,Nairobi,18345,58,Male,Current,Bill Payment,Internet,193430.37,56130.56,Western
121,2025-11-01,Nakuru,68163,56,Female,Savings,Withdrawal,ATM,8896.0,531527.4,Rift Valley
122,2025-04-06,Mombasa,30868,21,Male,Savings,Loan Repayment,Mobile,28539.08,199518.27,Rift Valley
123,2025-11-10,Mombasa,76660,37,Male,Current,Deposit,Branch,143108.18,6349.4,Rift Valley
124,2025-08-27,Nairobi,95921,46,Male,Savings,Deposit,Internet,46536.11,38817.56,Western
125,2025-12-22,Kisumu,16885,35,Female,Current,Transfer,Mobile,17175.68,507428.57,Coast
126,2025-05-14,Mombasa,36578,28,Female,Savings,Bill Payment,Internet,120286.06,379448.93,Rift Valley
127,2025-08-30,Nakuru,10836,72,Male,Current,Withdrawal,Internet,157861.56,391563.06,Central
128,2025-10-17,Mombasa,28952,20,Male,Savings,Deposit,Mobile,69038.25,141841.59,Central
129,2025-01-16,Nairobi,28140,62,Male,Savings,Deposit,ATM,171313.95,761768.64,Coast
130,2025-10-01,Nairobi,60311,24,Male,Savings,Withdrawal,ATM,6868.74,949251.46,Central
131,2025-11-20,Kisumu,72536,24,Male,Savings,Withdrawal,Internet,63895.86,423765.39,Central
132,2025-06-29,Kisumu,47040,21,Female,Current,Loan Repayment,Branch,170290.33,618275.86,Central
133,2025-07-31,Nairobi,67206,51,Male,Current,Bill Payment,ATM,107622.32,216574.26,Central
134,2025-10-22,Kisumu,32330,45,Male,Savings,Transfer,ATM,971.9,490822.99,Rift Valley
135,2025-12-22,Mombasa,74825,55,Female,Current,Loan Repayment,Mobile,56817.58,214714.34,Coast
136,2025-09-13,Mombasa,24407,58,Male,Current,Loan Repayment,ATM,125623.65,355617.06,Rift Valley
137,2025-07-22,Nairobi,65329,74,Male,Current,Withdrawal,Internet,52712.76,901215.68,Coast
138,2025-07-14,Mombasa,70412,26,Male,Current,Loan Repayment,Internet,104394.26,867998.23,Rift Valley
139,2025-12-05,Nakuru,52380,28,Female,Current,Transfer,Mobile,25298.8,462017.97,Coast
140,2025-09-17,Mombasa,45059,37,Male,Savings,Withdrawal,Internet,120618.73,348632.08,Coast
141,2025-06-17,Mombasa,43906,64,Male,Savings,Deposit,Mobile,76908.16,983832.79,Western
142,2025-06-02,Eldoret,45890,30,Male,Savings,Transfer,Mobile,177061.1,463916.35,Central
143,2025-07-24,,39157,50,Female,Current,Deposit,Mobile,51516.99,738240.39,Central
144,2025-05-05,Eldoret,85232,55,Female,Savings,Loan Repayment,Mobile,135951.34,641538.82,Rift Valley
145,2025-08-10,Kisumu,44053,58,Male,Current,Withdrawal,Branch,142658.78,629614.7,Western
146,2025-08-05,Eldoret,69663,19,Female,Savings,Transfer,ATM,77802.81,489840.16,Central
147,2025-01-20,Kisumu,81219,31,Male,Savings,Loan Repayment,Internet,20307.29,574560.5,Coast
148,2025-09-01,Nakuru,12111,58,Female,Current,Bill Payment,Branch,42096.87,684360.27,Rift Valley
149,2025-09-21,Nairobi,90478,40,Male,Current,Transfer,Branch,79996.87,13308.34,Rift Valley
150,2025-08-04,Kisumu,86044,34,Male,Savings,Transfer,Branch,187992.28,527076.45,Coast
151,2025-07-20,Eldoret,37788,28,Male,Savings,Withdrawal,Branch,128475.64,720704.74,Coast
152,2025-06-30,Eldoret,71354,36,Male,Current,Transfer,Mobile,53558.15,376148.5,Western
153,2025-08-07,Mombasa,73120,18,Female,Current,Withdrawal,Internet,64132.07,484919.21,Central
154,2025-12-04,Kisumu,30021,37,Female,Savings,Deposit,Internet,156829.28,140401.71,Western
155,2025-11-21,Nakuru,11964,60,Male,Savings,Deposit,Internet,50080.31,101511.94,Coast
156,2025-04-30,Mombasa,69239,40,Male,Savings,Bill Payment,Mobile,121941.72,688026.08,Central
157,2025-12-09,,93439,71,Female,Savings,Bill Payment,Mobile,106206.02,741911.94,Rift Valley
158,2025-12-10,Nairobi,82753,25,Female,Current,Withdrawal,Mobile,94701.04,557203.08,Rift Valley
159,2025-08-28,Mombasa,74405,33,Female,Savings,Loan Repayment,ATM,32155.45,320684.01,Rift Valley
160,2025-12-07,Kisumu,71048,41,Female,Current,Deposit,Mobile,127444.48,636126.13,Central
161,2025-01-11,Nakuru,16012,61,Female,Savings,Loan Repayment,Branch,96986.64,897561.76,Central
162,2025-04-20,Eldoret,91956,26,Female,Savings,Transfer,Internet,94959.25,525537.61,Coast
163,2025-05-26,Eldoret,54820,45,Female,Savings,Transfer,Internet,71100.19,493730.29,Western
164,2025-09-15,Kisumu,76378,40,Male,Current,Deposit,Internet,38542.52,713181.01,Coast
165,2025-10-28,Nairobi,15249,43,Female,Savings,Bill Payment,Internet,21789.25,46396.67,Rift Valley
166,2025-11-08,Nairobi,75646,52,Female,Savings,Loan Repayment,ATM,42579.03,667002.18,Rift Valley
167,2025-11-17,Mombasa,23285,60,Male,Savings,Bill Payment,ATM,182825.16,655717.44,Western
168,2025-03-13,Kisumu,83675,63,Female,Current,Withdrawal,Branch,6944.74,20392.06,Central
169,2025-09-12,Nakuru,78439,20,Male,Current,Loan Repayment,Branch,89349.69,14130.45,Rift Valley
170,2025-11-01,Nakuru,96428,27,Female,Current,Loan Repayment,ATM,16676.65,472192.52,Coast
171,2025-11-17,Nairobi,65967,18,Male,Savings,Deposit,Mobile,173922.87,128968.49,Central
172,2025-05-22,Nakuru,41754,46,Male,Savings,Transfer,Mobile,145971.38,84289.61,Rift Valley
173,2025-08-24,Kisumu,16902,63,Male,Savings,Deposit,ATM,176678.05,686639.27,Central
174,2025-07-19,Kisumu,50959,64,Male,Current,Loan Repayment,ATM,63324.27,948759.96,Rift Valley
175,2025-08-29,Mombasa,28993,69,Male,Current,Withdrawal,Branch,95444.75,778093.33,Rift Valley
176,2025-05-20,Nakuru,53763,36,Female,Savings,Loan Repayment,Internet,173924.69,725709.45,Central
177,2025-03-19,Nakuru,50448,55,Female,Savings,Bill Payment,Branch,136995.91,601782.08,Coast
178,2025-08-20,Kisumu,10220,38,Female,Current,Bill Payment,Mobile,117369.94,815986.18,Central
179,2025-05-28,Mombasa,84961,27,Female,Current,Transfer,ATM,108042.24,484762.47,Rift Valley
180,2025-04-13,Mombasa,50562,56,Male,Current,Bill Payment,Mobile,185207.2,586388.34,Central
181,2025-07-17,Eldoret,80852,23,Female,Savings,Withdrawal,Branch,115960.13,896929.1,Western
182,2025-09-02,Nakuru,87244,30,Male,Savings,Withdrawal,ATM,36220.59,701064.16,Western
183,2025-10-23,Nakuru,57040,43,Male,Savings,Deposit,Branch,74870.68,106118.27,Rift Valley
184,2025-02-11,Mombasa,51391,56,Male,Current,Transfer,ATM,18907.54,204643.78,Rift Valley
185,2025-10-28,Nakuru,37994,34,Female,Current,Deposit,Branch,153473.07,818830.74,Coast
186,2025-05-11,Nairobi,54412,30,Male,Current,Deposit,ATM,10294.4,557380.25,Rift Valley
187,2025-09-07,Nairobi,88389,58,Female,Savings,Deposit,Internet,63810.25,233207.89,Central
188,2025-12-09,Nakuru,61526,29,Female,Savings,Transfer,Mobile,198343.98,221721.86,Central
189,2025-05-12,Kisumu,17769,75,Male,Savings,Transfer,Branch,11247.99,144797.57,Central
190,2025-04-12,Kisumu,87304,55,Female,Savings,Bill Payment,Internet,74400.43,390048.11,Western
191,2025-09-04,Eldoret,32095,46,Male,Savings,Deposit,Branch,143473.62,195103.76,Central
192,2025-03-22,Mombasa,20195,57,Female,Savings,Bill Payment,ATM,185195.38,385079.14,Central
193,2025-11-18,Nairobi,69288,39,Female,Savings,Bill Payment,ATM,125673.81,142767.89,Coast
194,2025-01-30,Mombasa,69162,53,Male,Current,Withdrawal,Internet,83710.78,246756.97,Central
195,2025-05-19,Nakuru,48869,39,Male,Current,Bill Payment,ATM,63681.56,903168.23,Central
196,2025-03-20,Nakuru,17451,58,Male,Current,Transfer,ATM,51632.85,201621.83,Western
197,2025-08-10,Kisumu,41283,33,Male,Current,Transfer,Branch,179250.27,57482.37,Western
198,2025-03-15,Nairobi,67948,69,Female,Savings,Bill Payment,ATM,157934.03,943646.23,Western
199,2025-04-06,Kisumu,67049,20,Female,Savings,Transfer,Mobile,27701.09,180129.87,Coast
200,2025-12-31,Mombasa,35783,56,Male,Savings,Loan Repayment,Branch,152279.8,175317.95,Coast
201,2025-11-10,Mombasa,86406,37,Male,Savings,Deposit,Branch,168229.45,916248.08,Western
202,2025-06-21,Kisumu,93778,73,Female,Savings,Deposit,Branch,182052.17,476614.34,Western
203,2025-05-08,Mombasa,83810,71,Female,Savings,Withdrawal,Internet,115026.45,858073.15,Western
204,2025-09-24,Eldoret,77584,22,Male,Current,Withdrawal,Internet,155846.96,868091.45,Central
205,2025-05-30,Nairobi,74854,46,Male,Savings,Deposit,Mobile,193488.51,223698.99,Coast
206,2025-03-27,Nairobi,50883,34,Male,Savings,Deposit,Mobile,52357.72,837331.86,Rift Valley
207,2025-09-25,Mombasa,68223,24,Female,Savings,Withdrawal,ATM,54675.31,464845.36,Western
208,2025-02-26,Nairobi,25930,43,Male,Savings,Withdrawal,Mobile,133788.25,462054.72,Rift Valley
209,2025-03-26,Nairobi,93229,42,Female,Savings,Bill Payment,ATM,155403.74,338548.56,Coast
210,2025-06-21,Eldoret,83980,69,Female,Current,Loan Repayment,ATM,65043.46,146629.21,Western
211,2025-05-08,Eldoret,96916,58,Male,Current,Deposit,Mobile,13945.92,433040.53,Central
212,2025-04-26,Mombasa,65145,43,Female,Savings,Deposit,ATM,173134.77,620925.91,Western
213,2025-11-18,Nakuru,14689,57,Male,Current,Deposit,ATM,86794.89,950865.87,Western
214,2025-02-27,Kisumu,55554,59,Male,Savings,Deposit,Internet,16986.36,590248.16,Coast
215,2025-08-14,Nairobi,77060,26,Female,Current,Loan Repayment,Internet,54894.99,735930.85,Western
216,2025-08-21,Nakuru,84734,32,Female,Savings,Loan Repayment,Internet,92230.6,548029.75,Rift Valley
217,2025-08-29,Kisumu,14058,33,Female,Savings,Withdrawal,Branch,193924.2,396454.37,Western
218,2025-03-25,Mombasa,52461,53,Female,Current,Transfer,Internet,175686.68,216141.02,Central
219,2025-01-12,Mombasa,82237,22,Female,Current,Deposit,Branch,166882.57,354113.32,Central
220,2025-09-24,Mombasa,98822,65,Male,Current,Transfer,Internet,28151.41,202492.54,Western
221,2025-09-23,Nairobi,72290,35,Male,Current,Deposit,ATM,82142.52,549946.36,Central
222,2025-09-12,Eldoret,84967,27,Female,Current,Loan Repayment,ATM,75974.51,452283.24,Rift Valley
223,2025-05-28,Kisumu,48393,40,Female,Current,Transfer,ATM,157436.88,849566.31,Rift Valley
224,2025-07-14,Eldoret,49324,29,Female,Savings,Bill Payment,Branch,116358.32,87929.73,Western
225,2025-06-15,Nakuru,41804,38,Male,Current,Deposit,ATM,9583.67,564934.73,Rift Valley
226,2025-06-03,Nakuru,50949,52,Female,Current,Bill Payment,Branch,71606.64,594720.52,Western
227,2025-08-20,Nairobi,98667,22,Male,Savings,Bill Payment,Internet,100231.67,648536.34,Coast
228,2025-04-07,Eldoret,73794,43,Female,Current,Loan Repayment,ATM,34227.39,318077.75,Central
229,2025-06-09,Nakuru,33014,25,Female,Current,Loan Repayment,Branch,126257.14,524057.1,Coast
230,2025-09-16,Mombasa,64035,29,Male,Savings,Transfer,ATM,138378.66,10733.73,Central
231,2025-06-07,Nakuru,10512,37,Female,Savings,Loan Repayment,ATM,133654.47,196650.4,Rift Valley
232,2025-10-11,Nakuru,44867,73,Male,Savings,Bill Payment,ATM,29156.25,518423.84,Central
233,2025-01-15,Nairobi,19978,28,Female,Current,Loan Repayment,Branch,161339.35,62115.23,Central
234,2025-12-17,Nakuru,52312,27,Male,Current,Transfer,Mobile,6674.79,628698.25,Central
235,2025-06-28,Mombasa,68961,57,Female,Savings,Deposit,Mobile,178119.09,582662.12,Central
236,2025-08-14,Nairobi,91287,33,Male,Savings,Deposit,Mobile,186171.56,854715.53,Western
237,2025-01-04,Eldoret,49803,44,Female,Current,Deposit,Mobile,135488.61,674910.04,Coast
238,2025-07-31,Kisumu,62245,74,Female,Savings,Withdrawal,ATM,34776.17,358396.05,Coast
239,2025-01-04,Kisumu,61908,53,Female,Savings,Transfer,Branch,67242.48,651281.8,Central
240,2025-08-05,Kisumu,82593,33,Female,Savings,Bill Payment,Internet,68961.36,435576.44,Western
241,2025-12-07,Nairobi,54750,69,Male,Savings,Withdrawal,ATM,39339.62,544866.23,Coast
242,2025-10-12,Eldoret,71217,71,Male,Savings,Transfer,Internet,43373.58,405152.09,Coast
243,2025-06-02,Eldoret,76169,31,Male,Current,Withdrawal,Internet,119231.03,440346.77,Western
244,2025-10-01,Mombasa,62972,56,Male,Savings,Deposit,ATM,108564.31,270409.13,Rift Valley
245,2025-01-15,Nakuru,29014,37,Male,Current,Deposit,Mobile,155249.96,231564.71,Coast
246,2025-12-06,Nairobi,18923,53,Female,Current,Withdrawal,ATM,143771.89,87940.13,Western
247,2025-03-06,Eldoret,47010,40,Female,Current,Withdrawal,Internet,35361.05,366581.83,Western
248,2025-07-31,Nairobi,96384,63,Female,Savings,Bill Payment,Internet,181218.52,97697.9,Western
249,2025-02-28,Kisumu,89811,64,Male,Savings,Bill Payment,ATM,121745.08,430703.01,Western
250,2025-03-21,Eldoret,15142,53,Female,Savings,Loan Repayment,Mobile,114076.04,716634.15,Western
251,2025-08-11,Nakuru,55749,18,Male,Current,Deposit,ATM,194828.27,681069.05,Central
252,2025-06-13,Mombasa,55306,65,Male,Current,Bill Payment,Mobile,56305.02,89933.58,Rift Valley
253,2025-08-15,Kisumu,75939,65,Female,Savings,Withdrawal,Branch,134656.89,846564.11,Coast
254,2025-09-08,Mombasa,15726,62,Female,Savings,Loan Repayment,Mobile,193885.93,637516.81,Western
255,2025-05-08,Nairobi,32026,40,Female,Current,Deposit,Mobile,127337.43,137190.42,Rift Valley
256,2025-12-10,Eldoret,41178,63,Male,Savings,Loan Repayment,Branch,26707.11,640909.57,Western
257,2025-03-10,Mombasa,87011,54,Male,Current,Deposit,Branch,152127.36,169211.24,Coast
258,2025-11-03,Eldoret,63228,71,Male,Savings,Transfer,ATM,72160.11,206432.77,Central
259,2025-05-24,Kisumu,35836,25,Female,Current,Deposit,Mobile,64961.69,468659.44,Western
260,2025-05-29,Mombasa,83076,22,Male,Savings,Bill Payment,Branch,16885.96,717141.31,Western
261,2025-02-25,Eldoret,66916,49,Male,Current,Deposit,Internet,183919.37,644506.74,Western
262,2025-12-01,Mombasa,20242,26,Male,Savings,Bill Payment,Mobile,59333.44,185734.73,Coast
263,2025-02-22,Kisumu,90844,38,Female,Savings,Transfer,Internet,46122.16,136342.78,Western
264,2025-05-10,Mombasa,17565,20,Male,Current,Deposit,Mobile,98926.53,499530.1,Coast
265,2025-06-03,Nakuru,86168,58,Male,Savings,Withdrawal,Mobile,27746.21,636755.85,Rift Valley
266,2025-02-15,Nairobi,67606,48,Male,Savings,Transfer,ATM,6501.05,610740.36,Rift Valley
267,2025-03-15,Kisumu,19436,60,Male,Current,Transfer,ATM,87794.81,666104.17,Coast
268,2025-03-26,Eldoret,48763,18,Female,Current,Loan Repayment,Mobile,93820.67,542721.65,Rift Valley
269,2025-08-08,Nakuru,92014,73,Male,Current,Loan Repayment,ATM,162248.51,60008.45,Western
270,2025-11-08,Kisumu,84058,54,Female,Current,Bill Payment,Mobile,59932.44,343408.79,Central
